qid,last_first,description,name,creator_string
,"Hu, Jiang",,Jiang Hu,"[""Hu, Jiang""]"
,"Huggins, Victor","1936-, born Durham, NC",Victor Huggins,"[""Huggins, Victor (1936-, born Durham, NC)"",""Huggins, Victor  (1936-)"",""Huggins, Victor (1936-)""]"
,"Hulsey, Sarah",", born Oklahoma City, OK",Sarah Hulsey,"[""Hulsey, Sarah (, born Oklahoma City, OK)""]"
,"Husein, Faik","1944-2004, born Nasria, Iraq, died New York, NY",Faik Husein,"[""Husein, Faik (1944-2004, born Nasria, Iraq, died New York, NY)"",""Husein, Faik""]"
,"Ichida, Jirobei",,Jirobei Ichida,"[""Ichida, Jirobei""]"
,"Ideal, Phillis","1942-, born Roswell, NM",Phillis Ideal,"[""Ideal, Phillis (1942-, born Roswell, NM)""]"
,Ikkoku-sai,,Ikkoku-sai,"[""Ikkoku-sai""]"
,"Inoue, Kenroku Sensei",,Kenroku Sensei Inoue,"[""Inoue, Kenroku Sensei""]"
,"Itakura, Shukuei",,Shukuei Itakura,"[""Itakura, Shukuei""]"
,"Itiani, A.",,A. Itiani,"[""Itiani, A.""]"
,"Jackson, Julian","1953-, born Richmond, VA",Julian Jackson,"[""Jackson, Julian (1953-, born Richmond, VA)""]"
,"Janezic, Alexandra","1988-, born Orange, TX",Alexandra Janezic,"[""Janezic, Alexandra and Runkle, Matt (1988-, 1977-, born Orange, TX; Spokane, WA)""]"
,"Janus, Jan",,Jan Janus,"[""Janus, Jan""]"
,Jeremy D. Maynard,"1977-, born Nashville, TN",Jeremy D. Maynard,"[""Jeremy D. Maynard (1977-, born Nashville, TN)""]"
,Jiang Hu,,Jiang Hu,"[""Jiang Hu""]"
,Jichosai,Nichosai,Jichosai,"[""Jichosai (Nichosai) (1781-1788)""]"
,"Jimenez, Luis",,Luis Jimenez,"[""Jimenez, Luis""]"
,"Jimerfield, Dan","1974-, born Cumberland, MO",Dan Jimerfield,"[""Jimerfield, Dan (1974-, born Cumberland, MO)"",""Jimerfield, Dan, for Hatch Show Print (1974-, born Cumberland, MO)""]"
,"Johnston, Yves",1920-,Yves Johnston,"[""Johnston, Yves (1920-)""]"
,"Jones, Bronlyn","1954-, born Williamsburg, IA",Bronlyn Jones,"[""Jones, Bronlyn (1954-, born Williamsburg, IA)""]"
,"Josephson, Laura",,Laura Josephson,"[""Josephson, Laura""]"
,"Judson, Jeanette Alexander",1912-2002,Jeanette Alexander Judson,"[""Judson, Jeanette Alexander (1912-2002)""]"
,"Juszczk, James Joseph","1943-, born Chicago, IL",James Joseph Juszczk,"[""Juszczk, James Joseph (1943-, born Chicago, IL)"",""Juszczyk, James Joseph (American painter, born 1943)""]"
,"Kadi, Ramon Marcus","1967, born Surabaya, Indonesia",Ramon Marcus Kadi,"[""Kadi, Ramon Marcus (1967, born Surabaya, Indonesia)""]"
,Kado,,Kado,"[""Kado""]"
,"Kalmbach, Ann","1950-, born Rochester, NY",Ann Kalmbach,"[""Kalmbach, Ann and Kellner, Tatana (1950-, 1950-, born Rochester, NY; Prague, Czech Republic)""]"
,"Kanner, Chaim","1943-2000, born Nice, France",Chaim Kanner,"[""Kanner, Chaim (1943-2000, born Nice, France)""]"
,Kanō Yashunobu,"Japanese painter, 1613-1685",Kanō Yashunobu,"[""Kanō Yashunobu (Japanese painter, 1613-1685)""]"
,"Karail, Ilonka",,Ilonka Karail,"[""Karail, Ilonka""]"
,"Karlik, Steve","1960-, born Portland, OR",Steve Karlik,"[""Karlik, Steve (1960-, born Portland, OR)""]"
,"Katsuda, Yukio",1941-,Yukio Katsuda,"[""Katsuda, Yukio (1941-)""]"
,"Katsugawa, Hirosuke",,Hirosuke Katsugawa,"[""Katsugawa, Hirosuke and Haruaki Fiji""]"
,"Katsushika, Isai",,Isai Katsushika,"[""Katsushika, Isai""]"
,Keisui,,Keisui,"[""Keisui ""]"
,"Key-Oberg, Rolf","American ceramicist, 1900-1959",Rolf Key-Oberg,"[""Key-Oberg, Rolf (American ceramicist, 1900-1959)""]"
,"Kikuchi, Tsunejiro",Kilauchi Hobun,Tsunejiro Kikuchi,"[""Kikuchi, Tsunejiro (Kilauchi Hobun) (1862-1918)""]"
,"Killaars, Fransje","Dutch artist, born 1959",Fransje Killaars,"[""Killaars, Fransje (Dutch artist, born 1959)""]"
,Kim Sal Rui,,Kim Sal Rui,"[""Kim Sal Rui""]"
,"Kings, John",,John Kings,"[""Kings, John""]"
,"Kinsai, Dojin",,Dojin Kinsai,"[""Kinsai, Dojin""]"
,Kitabat,,Kitabat,"[""Kitabat""]"
,"Kniseley, Judy","-1964, ca.",Judy Kniseley,"[""Kniseley, Judy (-1964, ca.)""]"
,Koshin,,Koshin,"[""Koshin""]"
,"Krauze, A",,A Krauze,"[""Krauze, A""]"
,Kunisada,"Japanese woodcutter and graphic artist, 1848-1920",Kunisada,"[""Kunisada (Japanese woodcutter and graphic artist, 1848-1920)""]"
,"Kutner, Christophe",,Christophe Kutner,"[""Kutner, Christophe""]"
,Kwannon,,Kwannon,"[""Kwannon""]"
,Kwasniewska,,Kwasniewska,"[""Kwasniewska""]"
,"La Rouke, Hector",,Hector La Rouke,"[""La Rouke, Hector""]"
,"Lacey, Ninon","1923-, born New Hampshire",Ninon Lacey,"[""Lacey, Ninon (1923-, born New Hampshire)""]"
,"Lafitte, Andrew",,Andrew Lafitte,"[""Lafitte, Andrew""]"
,"Lancaster, Paul",,Paul Lancaster,"[""Lancaster, Paul""]"
,"Landry, G.",,G. Landry,"[""Landry, G.""]"
,"Langworthy, Sara",,Sara Langworthy,"[""Langworthy, Sara""]"
,"Larmessin, Nicolas, III","French engraver, ca.1640-1725",Nicolas Larmessin III,"[""Larmessin, Nicolas, III (French engraver, ca.1640-1725)""]"
,"Laurencian, Marie",1885-1956,Marie Laurencian,"[""Laurencian, Marie (1885-1956)""]"
,"Lavender, Randall",b. 1956,Randall Lavender,"[""Lavender, Randall (b. 1956)""]"
,"Leach, John",,John Leach,"[""Leach, John""]"
,"Legge, Willow",1934-,Willow Legge,"[""Legge, Willow (1934-)""]"
,Lemercier,,Lemercier,"[""Lemercier""]"
,Lemoir,,Lemoir,"[""Lemoir""]"
,"Lenerts, Cis",1940,Cis Lenerts,"[""Lenerts, Cis (1940)""]"
,"Lent, Lillian",,Lillian Lent,"[""Lent, Lillian""]"
,"Lentrein, Charlotte",,Charlotte Lentrein,"[""Lentrein, Charlotte""]"
,"LeQuire, Louise",,Louise LeQuire,"[""LeQuire, Louise"",""Lequire, Louise""]"
,"Levy, Tibbie",1908-,Tibbie Levy,"[""Levy, Tibbie (1908-)""]"
,Lihacault,,Lihacault,"[""Lihacault""]"
,"Loberg, Robert W.","1927-1999, born Chicago, IL",Robert W. Loberg,"[""Loberg, Robert W. (1927-1999, born Chicago, IL)""]"
,"Loy, William",1930-,William Loy,"[""Loy, William (1930-)""]"
,"Lukas, Dennis","1947-, born Hamilton, Ontario",Dennis Lukas,"[""Lukas, Dennis (1947-, born Hamilton, Ontario)""]"
,"Lurnson, Mon",,Mon Lurnson,"[""Lurnson, Mon""]"
,"Lustyk, Danka",,Danka Lustyk,"[""Lustyk, Danka""]"
,"Lyles, Karen Leonard",1955-,Karen Leonard Lyles,"[""Lyles, Karen Leonard (1955-)""]"
,"Lyons, T. Harrington",,T. Harrington Lyons,"[""Lyons, T. Harrington""]"
,"Mabuchi, Toru","1920-1994, born Tokyo, Japan",Toru Mabuchi,"[""Mabuchi, Toru (1920-1994, born Tokyo, Japan)""]"
,"MacKenzie, David","British architect, 20th century",David MacKenzie,"[""MacKenzie, David (British architect, 20th century)""]"
,Mackert,,Mackert,"[""Mackert""]"
,"MacLean, William",1897-1977,William MacLean,"[""MacLean, William (1897-1977)""]"
,"Magnan, Oscar","1937-, born Cienfuegos, Cuba",Oscar Magnan,"[""Magnan, Oscar (1937-, born Cienfuegos, Cuba)""]"
,"Maine, Stephen","1958-, born Hartford, CT",Stephen Maine,"[""Maine, Stephen (1958-, born Hartford, CT)""]"
,"Malik, H.J.",,H.J. Malik,"[""Malik, H.J.""]"
,"Marcus, Caleb Cain","1978-, born U.S.A.",Caleb Cain Marcus,"[""Marcus, Caleb Cain (1978-, born U.S.A.)""]"
,"Marsh, Cynthia",,Cynthia Marsh,"[""Marsh, Cynthia""]"
,"Masuda, Gyokujo",1881-1955,Gyokujo Masuda,"[""Masuda, Gyokujo (1881-1955)""]"
,"Matsutaka, Saishuntei",,Saishuntei Matsutaka,"[""Matsutaka, Saishuntei""]"
,Matsuyama,or Shozan,Matsuyama,"[""Matsuyama (or Shozan)""]"
,Matthew Oesterreich,designer,Matthew Oesterreich,"[""Matthew Oesterreich (designer) and Lorenzo Zucchi (engraver)""]"
,"Matz, Jeff","1963-, born Orlando, FL",Jeff Matz,"[""Matz, Jeff (1963-, born Orlando, FL)""]"
,"Mauke, Rudolf","German artist, born 1924",Rudolf Mauke,"[""Mauke, Rudolf (German artist, born 1924)""]"
,"Maynard, Jeremy D.","1977-, born Nashville, TN",Jeremy D. Maynard,"[""Maynard, Jeremy D. (1977-, born Nashville, TN)"",""Maynard, Jeremy D., (1977-, born Nashville, TN)"",""Maynard, Jeremy D., for Hatch Show Print (1977-, born Nashville, TN)""]"
,"McAleer-Keeler, Kerry","1971-, born Providence, RI",Kerry McAleer-Keeler,"[""McAleer-Keeler, Kerry (1971-, born Providence, RI)""]"
,"McBurnie, Ronald",,Ronald McBurnie,"[""McBurnie, Ronald""]"
,"McCloud, Bryce","1975, born Nashville, TN",Bryce McCloud,"[""McCloud, Bryce (1975, born Nashville, TN)"",""McCloud, Bryce (1975-, born Nashville, TN)"",""McCloud, Bryce (Nashville, TN, born 1975-)"",""McCloud, Bryce, (1975-, born Nashville, TN)"",""McCloud, Bryce, for Hatch Show Print (1975-, born Nashville, TN)""]"
,"McCoy, Sarah","1976-, born Madison, WI",Sarah McCoy,"[""McCoy, Sarah  (1976-, born Madison, WI)""]"
,"McDevitt, Mark",,Mark McDevitt,"[""McDevitt, Mark""]"
