ArtistFirst,ArtistLast,ArtistFull,ArtistAliasFirst,ArtistAliasLast,AliasFull,ArtistYears,born,died,ArtistNationality,ArtistGender,ulan
Schelte,Bolswert,Schelte Bolswert,,Bolswert, Bolswert,1580-1659,1580,1659,Dutch (culture or style),Male,http://vocab.getty.edu/page/ulan/500005257
School of Charles-André van Loo,,School of Charles-André van Loo ,,, ,,,,French,Male,
Sears,Gallagher,Sears Gallagher,,, ,1869-1955,1869,1955,American (North American),Male,http://vocab.getty.edu/page/ulan/500335769
Sebastien I,Leclerc,Sebastien I Leclerc,Le,Clerc,Le Clerc,1637-1714,1637,1714,French (culture or style),Male,http://vocab.getty.edu/page/ulan/500021137
Serge,Poliakoff,Serge Poliakoff,,, ,1906-1969,1906,1969,Russian (culture or style),Male,http://vocab.getty.edu/page/ulan/500008912
Seymour,Lipton,Seymour Lipton,,, ,1903-1986,1903,1986,American (North American),Male,http://vocab.getty.edu/page/ulan/500028802
Sharon,Sutton,Sharon Sutton,,, ,1941-,1941,,American,female,
Shikō,Munakata,Shikō Munakata,,, ,1903-1975,1903,1975,Japanese (culture or style),Male,http://vocab.getty.edu/page/ulan/500105681
Shirin,Neshat,Shirin Neshat,,, ,1957,1957,,American (North American),female,http://vocab.getty.edu/page/ulan/500114658
Shoji,Hamada,Shoji Hamada,,, ,1894-1978,1894,1978,Japanese (culture or style),Male,http://vocab.getty.edu/page/ulan/500078963
Shunsensai,Takehara,Shunsensai Takehara,絵本,百物語,絵本 百物語,active ca. 1807,,,Japanese,Male,
Si,Lewen,Si Lewen,,, ,1918,1918,,American (North American),Male,http://vocab.getty.edu/page/ulan/500049416
Sidney,Chafetz,Sidney Chafetz,,, ,1922,1922,,American (North American),Male,http://vocab.getty.edu/page/ulan/500105615
Sidney,Gordin,Sidney Gordin,,, ,1918-1996,1918,1996,American (North American),Male,http://vocab.getty.edu/page/ulan/500053701
Sidney,Laufman,Sidney Laufman,,, ,1891-1985,1891,1985,American (North American),Male,http://vocab.getty.edu/page/ulan/500009087
Sigmar,Polke,Sigmar Polke,,, ,1941-2010,1941,2010,"German (culture, style, period)",Male,http://vocab.getty.edu/page/ulan/500115233
Sigmund Joseph,Menkes,Sigmund Joseph Menkes,,, ,1896-1945,1896,1945,American (North American),Male,http://vocab.getty.edu/page/ulan/500004834
Siri,Berg,Siri Berg,,, ,1921-2020,1921,2020,Swedish-American,female,
Stanley,Twardowicz,Stanley Twardowicz,Stanley Jan,Twardowicz,Stanley Jan Twardowicz,1917-2017,1917,2017,American (North American),Male,http://vocab.getty.edu/page/ulan/500051007
Stefan,Hirsch,Stefan Hirsch,,, ,1899-1964,1899,1964,American (North American),Male,http://vocab.getty.edu/page/ulan/500024254
Stefano della,Bella,Stefano della Bella,Stefano,Della Bella,Stefano Della Bella,1610-1664,1610,1664,Italian (culture or style),Male,http://vocab.getty.edu/page/ulan/500018966
Stephanie E.,Pogue,Stephanie E. Pogue,,, ,1944,1944,,American (North American),female,http://vocab.getty.edu/page/ulan/500122229
Stephen James,Ferris,Stephen James Ferris,,, ,1835-1935,1835,1935,American (North American),Male,http://vocab.getty.edu/page/ulan/500006340
Stephen,Maine,Stephen Maine,,, ,,,,American,Male,
Stephen,Tourlentes,Stephen Tourlentes,,, ,1959-,1959,,American,Male,
Stephen,Westfall,Stephen Westfall,Stephen,Westfall,Stephen Westfall,1953,1953,,American (North American),Male,http://vocab.getty.edu/page/ulan/500085864
Sterling Boyd,Strauser,Sterling Boyd Strauser,Sterling Boyd,Strauser,Sterling Boyd Strauser,1907-1995,1907,1995,American (North American),Male,http://vocab.getty.edu/page/ulan/500055773
Steven,Spurrier,Steven Spurrier,Steven,Spurrier,Steven Spurrier,1878-1961,1878,1961,British (modern),Male,http://vocab.getty.edu/page/ulan/500003252
Stuart,Davis,Stuart Davis,,Davis, Davis,1892-1964,1892,1964,American (North American),Male,http://vocab.getty.edu/page/ulan/500115507
Sue,Fuller,Sue Fuller,,, ,1914,1914,,American (North American),female,http://vocab.getty.edu/page/ulan/500053650
Susan,Bonfils,Susan Bonfils,,, ,,,,American,female,
Suzanne,Valadon,Suzanne Valadon,Suzanne,Valadon,Suzanne Valadon,1865-1938,1865,1938,French (culture or style),female,http://vocab.getty.edu/page/ulan/500032597
Suzuki,Harunobu,Suzuki Harunobu,Harunobu,Suzuki,Harunobu Suzuki,1720-1775,1720,1775,Japanese (culture or style),Male,http://vocab.getty.edu/page/ulan/500057319
Suzy,Frelinghuysen,Suzy Frelinghuysen,,, ,1912-1988,1912,1988,American (North American),female,http://vocab.getty.edu/page/ulan/500028988
Sybil,Gibson,Sybil Gibson,,, ,1908-1995,1908,1995,American (North American),female,http://vocab.getty.edu/page/ulan/500125770
Sylvia,Hyman,Sylvia Hyman,,, ,1917-2012,1917,2012,American,female,
T. Max,Hochstetler,T. Max Hochstetler,,, ,1941-,1941,,American,Male,
Tachibana,Morikuni,Tachibana Morikuni,,, ,1679-1748,1679,1748,Japanese (culture or style),,http://vocab.getty.edu/page/ulan/500477624
Tani,Bunchō,Tani Bunchō,Bunchō,Tani,Bunchō Tani,1763-1840,1763,1840,Japanese (culture or style),Male,http://vocab.getty.edu/page/ulan/500121188
Ted,Hughes,Ted Hughes,,, ,,,,,Male,
Teo,González,Teo González,,, ,1964,1964,,Spanish (culture or style),Male,http://vocab.getty.edu/page/ulan/500471949
Terri,Zupanc,Terri Zupanc,,, ,1955-,1955,,,female,
Terry,Fox,Terry Fox,,, ,1943-2008,1943,2008,American (North American),Male,http://vocab.getty.edu/page/ulan/500063852
Terry,Haass,Terry Haass,Terry,Haas,Terry Haas,1923,1923,,Czech (culture or style),Male,http://vocab.getty.edu/page/ulan/500031546
Terry,Thacker,Terry Thacker,,, ,,,,,Male,
Terry,Winters,Terry Winters,Terry,Winters,Terry Winters,1949,1949,,American (North American),Male,http://vocab.getty.edu/page/ulan/500000039
Tetsuya,Noda,Tetsuya Noda,,, ,1940,1940,,Asian,,http://vocab.getty.edu/page/ulan/500159688
Théodore,Rousseau,Théodore Rousseau,,Rousseau, Rousseau,1812-1867,1812,1867,French (culture or style),Male,http://vocab.getty.edu/page/ulan/500019946
Théophile Alexandre,Steinlen,Théophile Alexandre Steinlen,Théophile Alexandre,Steinlen,Théophile Alexandre Steinlen,1859-1923,1859,1923,French (culture or style),Male,http://vocab.getty.edu/page/ulan/500017451
Thomas B.,Allen,Thomas B. Allen,,, ,1928-2004,1928,2004,American,Male,
Thomas Buford,Meteyard,Thomas Buford Meteyard,,, ,1865-1928,1865,1928,American (North American),Male,http://vocab.getty.edu/page/ulan/500032378
Thomas,Cheesman,Thomas Cheesman,,, ,1760-1844,1760,1844,British (modern),Male,http://vocab.getty.edu/page/ulan/500005381
Thomas G.,Moses,Thomas G. Moses,,, ,1856-1934,1856,1934,American (North American),Male,http://vocab.getty.edu/page/ulan/500336336
Thomas,Holland,Thomas Holland,,, ,1790-1870,1790,1870,British (modern),Male,http://vocab.getty.edu/page/ulan/500146336
Thomas Joshua,Cooper,Thomas Joshua Cooper,,, ,1946,1946,,American (North American),Male,http://vocab.getty.edu/page/ulan/500010341
Thomas,Lawrence,Thomas Lawrence,,Lawrence, Lawrence,1769-1830,1769,1830,British (modern),Male,http://vocab.getty.edu/page/ulan/500022619
Thomas,Locher,Thomas Locher,,, ,1956,1956,,"German (culture, style, period)",Male,http://vocab.getty.edu/page/ulan/500111321
Thomas Puryear,Mims,Thomas Puryear Mims,,, ,1906-1975,1906,1975,American (North American),Male,http://vocab.getty.edu/page/ulan/500068379
Thomas,Rowlandson,Thomas Rowlandson,Thomas,Rowlandson,Thomas Rowlandson,1756-1827,1756,1827,British (modern),Male,http://vocab.getty.edu/page/ulan/500006930
Thomas,Shannon,Thomas Shannon,Thomas,Shannon,Thomas Shannon,1947,1947,,American (North American),Male,http://vocab.getty.edu/page/ulan/500067555
Thomas,Sutherland,Thomas Sutherland,Thomas,Sutherland,Thomas Sutherland,1785-1838,1785,1838,British (modern),Male,http://vocab.getty.edu/page/ulan/500032953
Thomas Talbot,Bury,Thomas Talbot Bury,,, ,1811-1877,1811,1877,British (modern),Male,http://vocab.getty.edu/page/ulan/500031990
Thomas W.,Nason,Thomas W. Nason,,, ,1889-1971,1889,1971,undetermined (information indicator),Male,http://vocab.getty.edu/page/ulan/500468606
Thomas,Worth,Thomas Worth,Thomas,Worth,Thomas Worth,1839-1917,1839,1917,American (North American),Male,http://vocab.getty.edu/page/ulan/500005361
Thomas Zvi,Wilson,Thomas Zvi Wilson,,, ,1931-2012,1931,2012,American,Male,
Thornton,Willis,Thornton Willis,Thornton,Willis,Thornton Willis,1936,1936,,American (North American),,http://vocab.getty.edu/page/ulan/500026609
Tibbie,Levy,Tibbie Levy,,, ,1908-,1908,,American,female,
Tim,Hooper,Tim Hooper,,, ,,,,,Male,
Timothy,Cole,Timothy Cole,,, ,1852-1931,1852,1931,American (North American),Male,http://vocab.getty.edu/page/ulan/500022162
Todd,Siler,Todd Siler,,, ,1953,1953,,American (North American),Male,http://vocab.getty.edu/page/ulan/500000234
Tomioka,Tessai,Tomioka Tessai,Tessai,Tomioka,Tessai Tomioka,1836-1924,1836,1924,Japanese (culture or style),,http://vocab.getty.edu/page/ulan/500121336
Torii Kiyomasu,I,Torii Kiyomasu I,Torii,Kiyomasu,Torii Kiyomasu,1660-1760,1660,1760,Japanese (culture or style),Male,http://vocab.getty.edu/page/ulan/500118868
Torii,Kiyonaga,Torii Kiyonaga,Kiyonaga,Torii,Kiyonaga Torii,1752-1815,1752,1815,Japanese (culture or style),Male,http://vocab.getty.edu/page/ulan/500058786
Tōshi,Yoshida,Tōshi Yoshida,,, ,1911-1995 CE,1911,1995,Japanese,Male,
Toyota,Hokkei,Toyota Hokkei,Iwakubo,Kinemon,Iwakubo Kinemon,1780-1850,1780,1850,Japanese (culture or style),Male,http://vocab.getty.edu/page/ulan/500327126
Toyota,Hokkei,Toyota Hokkei,Iwakubo,Kinemon,Iwakubo Kinemon,1780-1850,1780,1850,Japanese (culture or style),,http://vocab.getty.edu/page/ulan/500327126
Travis,Millard,Travis Millard,,, ,,,,,Male,
Trevor,Sutton,Trevor Sutton,Trevor,Sutton,Trevor Sutton,1948,1948,,British (modern),Male,http://vocab.getty.edu/page/ulan/500016338
Tsuchiya,Koitsu,Tsuchiya Koitsu,,, ,1870-1949,1870,1949,Japanese,Male,
Tsukioka,Yoshitoshi,Tsukioka Yoshitoshi,Yoshitoshi,Tsukioka,Yoshitoshi Tsukioka,1839-1892,1839,1892,Japanese (culture or style),Male,http://vocab.getty.edu/page/ulan/500121372
Ugo da,Carpi,Ugo da Carpi,,, ,1462-1562,1462,1562,Italian (culture or style),Male,http://vocab.getty.edu/page/ulan/500013568
Umetaro,Azechi,Umetaro Azechi,Umetarō,Azechi,Umetarō Azechi,1902-1999,1902,1999,Japanese (culture or style),Male,http://vocab.getty.edu/page/ulan/500330875
Utagawa I,Toyokuni,Utagawa I Toyokuni,,Kurahashi, Kurahashi,1769-1825,1769,1825,Japanese (culture or style),Male,http://vocab.getty.edu/page/ulan/500081100
Valentine,Green,Valentine Green,,, ,1739-1813,1739,1813,British (modern),Male,http://vocab.getty.edu/page/ulan/500021991
Vera,Vasek,Vera Vasek,,, ,,,,American,female,
Vernon Howe,Bailey,Vernon Howe Bailey,,, ,1874-1953,1874,1953,American (North American),Male,http://vocab.getty.edu/page/ulan/500041858
Victor,Huggins,Victor Huggins,,, ,1936-2007,1936,2007,American,Male,
Victor,Vasarely,Victor Vasarely,Victor,Vasarely,Victor Vasarely,1906-1997,1906,1997,French (culture or style),Male,http://vocab.getty.edu/page/ulan/500030657
Victoria Ebbels Huston,Huntley,Victoria Ebbels Huston Huntley,,, ,1900-1971,1900,1971,American (North American),female,http://vocab.getty.edu/page/ulan/500054391
Vik,Muniz,Vik Muniz,,, ,1961,1961,,American (North American),Male,http://vocab.getty.edu/page/ulan/500114657
Vincent,Aderente,Vincent Aderente,,, ,1880-1941,1880,1941,Italian American ,Male,
Vincent,Longo,Vincent Longo,,, ,1923,1923,,American (North American),Male,http://vocab.getty.edu/page/ulan/500082194
Vincent,McPharlin,Vincent McPharlin,,, ,1935-,1935,,American,Male,
Vincenzo active 18th century-19th century,Feoli,Vincenzo active 18th century-19th century Feoli,Vincenzo,Feoli,Vincenzo Feoli,1750-1827,1750,1827,Italian (culture or style),Male,http://vocab.getty.edu/page/ulan/500048427
Vincenzo,Agnetti,Vincenzo Agnetti,,, ,1926-1981,1926,1981,Italian (culture or style),Male,http://vocab.getty.edu/page/ulan/500078671
Vito,Giacalone,Vito Giacalone,,, ,1930-,1930,,American,Male,
Vittore,Crivelli,Vittore Crivelli,,, ,1444-1512,1444,1512,Italian (culture or style),Male,http://vocab.getty.edu/page/ulan/500032229
Vittorio,Grassi,Vittorio Grassi,,, ,1878-1958,1878,1958,Italian (culture or style),,http://vocab.getty.edu/page/ulan/500155207
Vladimir,Velickovic,Vladimir Velickovic,,, ,1935-2019,1935,2019,Serbian,Male,
W. H.,Walker,W. H. Walker,W. H.,Walker,W. H. Walker,1876-1976,1876,1976,British (modern),Male,http://vocab.getty.edu/page/ulan/500002863
Waldo,Peirce,Waldo Peirce,,, ,1884-1970,1884,1970,American (North American),Male,http://vocab.getty.edu/page/ulan/500124326
Walter Darby,Bannard,Walter Darby Bannard,Walter Darby,Bannard,Walter Darby Bannard,1934-2016,1934,2016,American (North American),Male,http://vocab.getty.edu/page/ulan/500018212
Ward,Jackson,Ward Jackson,,, ,1928-2004,1928,2004,American (North American),Male,http://vocab.getty.edu/page/ulan/500381390
Wattana,Wattanapun,Wattana Wattanapun,Watthana,Watthanāphan,Watthana Watthanāphan,1941,1941,,Thais,Male,http://vocab.getty.edu/page/ulan/500122968
Wenceslaus,Hollar,Wenceslaus Hollar,,, ,1607-1677,1607,1677,Bohemian,Male,http://vocab.getty.edu/page/ulan/500028368
Werner,Wildner,Werner Wildner,,, ,1925-2004,1925,2004,American,Male,
Wifred Graf Schwerin von,Krosigk,Wifred Graf Schwerin von Krosigk,,, ,,,,American,Male,
Wifredo,Lam,Wifredo Lam,,, ,1902-1982,1902,1982,Cuban,Male,http://vocab.getty.edu/page/ulan/500006317
Wilhelm Friedrich,Gmelin,Wilhelm Friedrich Gmelin,,, ,1760-1820,1760,1820,"German (culture, style, period)",Male,http://vocab.getty.edu/page/ulan/500016400
Will,Barnet,Will Barnet,,, ,1911-2012,1911,2012,American,Male,
Will,Faber,Will Faber,,, ,1901-1987,1901,1987,"German (culture, style, period)",Male,http://vocab.getty.edu/page/ulan/500036129
Willem van,Swanenburg,Willem van Swanenburg,Willem van,Swanenburg,Willem van Swanenburg,1580-1612,1580,1612,Dutch (culture or style),Male,http://vocab.getty.edu/page/ulan/500005645
William,Anastasi,William Anastasi,,, ,1933,1933,,American (North American),Male,http://vocab.getty.edu/page/ulan/500056778
William,Constable,William Constable,William,Constable,William Constable,1783-1861,1783,1861,British (modern),Male,http://vocab.getty.edu/page/ulan/500055807
William Crawford,Young,William Crawford Young,,, ,1886-,1886,,,Male,
William Gibbs,Rogers,William Gibbs Rogers,William Gibbs,Rogers,William Gibbs Rogers,1792-1875,1792,1875,British (modern),Male,http://vocab.getty.edu/page/ulan/500281874
William H.,Boysen,William H. Boysen,Bill,,Bill ,1936-,1936,,American,Male,
William Harry Warren,Bicknell,William Harry Warren Bicknell,,, ,1860-1947,1860,1947,American (North American),Male,http://vocab.getty.edu/page/ulan/500105394
William,Hart,William Hart,,, ,1823-1894,1823,1894,Scottish American,Male,
William,Hogarth,William Hogarth,,Hogard, Hogard,1697-1764,1697,1764,British (modern),Male,http://vocab.getty.edu/page/ulan/500004242
William Home,Lizars,William Home Lizars,,, ,1788-1859,1788,1859,British (modern),Male,http://vocab.getty.edu/page/ulan/500030357
William,Loy,William Loy,Bill,,Bill ,1937-2008,1937,2008,American,Male,
William,MacLean,William MacLean,,, ,1897-1977,1897,1977,American,Male,
William Merritt,Chase,William Merritt Chase,,Chase, Chase,1849-1916,1849,1916,American (North American),Male,http://vocab.getty.edu/page/ulan/500115356
William,Monk,William Monk,,, ,1863-1937,1863,1937,British (modern),Male,http://vocab.getty.edu/page/ulan/500006475
William,Newman,William Newman,,, ,1880-1980,1880,1980,British (modern),Male,http://vocab.getty.edu/page/ulan/500006810
William P.,Morehouse,William P. Morehouse,,, ,1929,1929,,American (North American),Male,http://vocab.getty.edu/page/ulan/500092269
William,Strang,William Strang,,Strang, Strang,1859-1921,1859,1921,British (modern),Male,http://vocab.getty.edu/page/ulan/500016057
William T.,Wiley,William T. Wiley,William T.,Wiley,William T. Wiley,1937,1937,,American (North American),Male,http://vocab.getty.edu/page/ulan/500022350
William the elder,Faithorne,William the elder Faithorne,William Faithorne the,Elder,William Faithorne the Elder,1606-1691,1606,1691,British (modern),Male,http://vocab.getty.edu/page/ulan/500115446
William,Tucker,William Tucker,William,Tucker,William Tucker,1935,1935,,American (North American),Male,http://vocab.getty.edu/page/ulan/500015612
William,Unger,William Unger,William,Unger,William Unger,1837-1932,1837,1932,"German (culture, style, period)",Male,http://vocab.getty.edu/page/ulan/500047449
William Vernon,Roberts,William Vernon Roberts,,, ,,,,,Male,
William,Wise,William Wise,William,Wise,William Wise,1793-1893,1793,1893,British (modern),Male,http://vocab.getty.edu/page/ulan/500113246
William,Wylie,William Wylie,,, ,,,,American,Male,
Willie,Cole,Willie Cole,,, ,1955,1955,,American (North American),Male,http://vocab.getty.edu/page/ulan/500334448
Willow,Legge,Willow Legge,,, ,1934-,1934,,,female,
Willy,Dzubas,Willy Dzubas,,, ,1877-1947,1877,1947,"German (culture, style, period)",,http://vocab.getty.edu/page/ulan/500485782
Willy,Weber,Willy Weber,Willy,Weber,Willy Weber,1933-1998,1933,1998,Swiss,Male,http://vocab.getty.edu/page/ulan/500196460
Winslow,Homer,Winslow Homer,,Homer, Homer,1836-1910,1836,1910,American (North American),Male,http://vocab.getty.edu/page/ulan/500019202
Wolf,Kahn,Wolf Kahn,,, ,1927,1927,,American (North American),Male,http://vocab.getty.edu/page/ulan/500084815
Wouter van,Riessen,Wouter van Riessen,,, ,1967-,1967,,Dutch,Male,
Yamaguchi,Soken,Yamaguchi Soken,,, ,1759-1818,1759,1818,Japanese,Male,
Yoshitoshi,Mori,Yoshitoshi Mori,,, ,1898-1992,1898,1992,Japanese (culture or style),,http://vocab.getty.edu/page/ulan/500322857
Zacharias,Dolendo,Zacharias Dolendo,Zacharias,Dolendo,Zacharias Dolendo,1561-1604,1561,1604,Netherlandish,Male,http://vocab.getty.edu/page/ulan/500109999
Zdenka,Zivkovic,Zdenka Zivkovic,,, ,1921-2011,1921,2011,,female,
