ArtistFirst,ArtistLast,ArtistFull,ArtistAliasFirst,ArtistAliasLast,AliasFull,ArtistYears,born,died,ArtistNationality,ArtistGender,ulan
Georges,Sanh,Georges Sanh,,, ,1909-,1909,,French,Male,
Georges,Schreiber,Georges Schreiber,Georges,Schreiber,Georges Schreiber,1904-1977,1904,1977,American (North American),Male,http://vocab.getty.edu/page/ulan/500025873
Georges William,Thornley,Georges William Thornley,,, ,1857-1935,1857,1935,French,Male,
Georgeta Gigi,Aramescu,Georgeta Gigi Aramescu,,, ,1910-1993,1910,1993,Romanian American,female,
Gerald,Brockhurst,Gerald Brockhurst,Gerald L.,Brockhurst,Gerald L. Brockhurst,1890-1978,1890,1978,American (North American),Male,http://vocab.getty.edu/page/ulan/500019583
Gerald,Holly,Gerald Holly,,, ,1917-2004,1917,2004,American,Male,
Gerhard,Marcks,Gerhard Marcks,,, ,1889-1981,1889,1981,"German (culture, style, period)",Male,http://vocab.getty.edu/page/ulan/500029431
Gerhard,Richter,Gerhard Richter,Gerhard,Richter,Gerhard Richter,1938,1938,,"German (culture, style, period)",Male,http://vocab.getty.edu/page/ulan/500281800
Gerolamo,Giovenone,Gerolamo Giovenone,,, ,1486-1555,1486,1555,Italian (culture or style),Male,http://vocab.getty.edu/page/ulan/500010664
Gerrit Albertus,Beneker,Gerrit Albertus Beneker,,, ,1882-1934,1882,1934,American (North American),Male,http://vocab.getty.edu/page/ulan/500027967
Gerrit Claesz,Bleker,Gerrit Claesz Bleker,,Bleken, Bleken,1595-1656,1595,1656,Dutch (culture or style),Male,http://vocab.getty.edu/page/ulan/500028731
Giacomo,Cavedone,Giacomo Cavedone,,, ,1577-1660,1577,1660,Italian (culture or style),Male,http://vocab.getty.edu/page/ulan/500010514
Giacomo Maria,Giovannini,Giacomo Maria Giovannini,,, ,1667-1717,1667,1717,Italian (culture or style),Male,http://vocab.getty.edu/page/ulan/500012611
Gianantonio,Faldoni,Gianantonio Faldoni,,, ,1690-1770,1690,1770,Italian (culture or style),Male,http://vocab.getty.edu/page/ulan/500006603
Gianni,Bertini,Gianni Bertini,,, ,1922,1922,,Italian (culture or style),Male,http://vocab.getty.edu/page/ulan/500025812
Gilbert,Gaul,Gilbert Gaul,,Gaul, Gaul,1855-1919,1855,1919,American (North American),Male,http://vocab.getty.edu/page/ulan/500005060
Gilbert,Herreyns,Gilbert Herreyns,,, ,1943-,1943,,Belgian,Male,
