last_first,description,born,died,birthplace,birth_city,birth_state,artist_type,wikidata_description,name,creator_string
"Gualdoni, Daniel",1943-,1943,,,,,printmaker,printmaker,Daniel Gualdoni,"['Gualdoni, Daniel (1943-)']"
"Gutiérrez, Francisco","1915-1945, born Oaxaca, Mexico",1915,1945,Q34110,Oaxaca, Mexico,printmaker,printmaker,Francisco Gutiérrez,"['Gutiérrez, Francisco (1915-1945, born Oaxaca, Mexico)']"
"Gwinn, John",,,,,,,drawer,drawer,John Gwinn,"['Gwinn, John']"
"Gyra, Francis Joseph, Jr.",1914-2007,1914,2007,,,,painter,painter,"Francis Joseph Gyra, Jr.","['Gyra, Francis Joseph, Jr. (1914-2007)']"
"Haberman, Gwen",,,,,,,printmaker,printmaker,Gwen Haberman,"['Haberman, Gwen']"
Haendil,,,,,,,painter,painter,Haendil,['Haendil']
"Hallmandel, C.",,,,,,,artist,artist,C. Hallmandel,"['Hallmandel, C.']"
"Handly, Avery",1913-1958,1913,1958,,,,painter,painter,Avery Handly,"['Handly, Avery (1913-1958)']"
"Handschick, Heinz","German painter, contemporary",,,,,,printmaker,German painter,Heinz Handschick,"['Handschick, Heinz (German painter, contemporary)']"
"Hansen, Diana R.",1942-,1942,,,,,printmaker,printmaker,Diana R. Hansen,"['Hansen, Diana R. (1942-)']"
"Harris, Lawrence",1885-1970,1885,1970,,,,printmaker,printmaker,Lawrence Harris,"['Harris, Lawrence  (1885-1970)']"
"Hart, W.C.",,,,,,,printmaker,printmaker,W.C. Hart,"['Hart, W.C. ']"
"Hasegawa, Konobu",fl. late 19th c.,,,,,,printmaker,printmaker,Konobu Hasegawa,"['Hasegawa, Konobu (fl. late 19th c.)']"
"Hasegawa, Masanobu",,,,,,,book artist,book artist,Masanobu Hasegawa,"['Hasegawa, Masanobu']"
"Hashimoto, Goyo",,,,,,,printmaker,printmaker,Goyo Hashimoto,"['Hashimoto, Goyo & Kaburagi, Kiyokata']"
"Hauser, Robert",1930,1930,,,,,printmaker,printmaker,Robert Hauser,"['Hauser, Robert (1930)']"
Haverford Painter,"Greek vase painter, active ca. 375-ca. 350 BCE in Apulia",,,,,,ceramic artist,Greek vase painter,Haverford Painter,"['Haverford Painter (Greek vase painter, active ca. 375-ca. 350 BCE in Apulia)']"
"Hawkins, Christie",,,,,,,artist,artist,Christie Hawkins,"['Hawkins, Christie']"
