accession_number,label,type
2000.044,"Rounder Records Showcase, Wylie and the Wild West -  Rosie Flores",poster
1982.087,"Polynesian/Polyhedron, from the Revolutions Per Minute (The Art Record)",print
2007.062,Vintage poster for Tuscany-Siena,poster
1957.005,Sardine Fleet at Anchor,print
2017.001.043,"The Peacable Kingdom, from ""Ten Wood Engravings from the Old Testament""",print
1979.0691P,Carnival,print
1998.043,BARCELONA 92:  Games of the XXV Olympiad Barcelona 1992,poster
2008.161,"Lincoln, London & North Eastern Railway of England and Scotland",poster
2001.055,Coming - The Legendary Bobby Bare and special guest The Brand,poster
1979.1197P,Ringling Bros and Barnum & Bailey; The Greatest Show on Earth,poster
2000.041,Edwin McCain Messenger,poster
2012.008j,"Heraldic Tinctures, from American Abstract Artists 60th Anniversary Print Portfolio",print
2012.008y,"Behind the Door, from American Abstract Artists 60th Anniversary Print Portfolio",print
2012.008kk,"Boat Building, from American Abstract Artists 60th Anniversary Print Portfolio",print
2000.085,"Milton Mapes, Hatch Show Print Poster",poster
2000.036,"3000 Days In Babylon The White Animals, July 23",poster
2015.037d,"Floating Landscape, from American Abstract Artists 50th Anniversary Print Portfolio",print
2000.013,"Neil Young, Solo At The Grand Ole Opry",poster
2006.006,The Mountain Goats poster,poster
2001.088,"Birthweek 2000: Guerrilla monster and BR2 present ""Elvis meets the Beatles""",poster
2000.010,"Jerry Lee Lewis and Delbert McClinton, House of Blues, May 21",poster
2001.101,"The Mavericks, Fan Fair 1999",poster
2001.143,The Baseball Reliquary's Shrine to Louis Sockalexis,poster
1999.165,Poster for Bob Dylan and His Band with Special Guests The Brian Setzer Orchestra at Nashville Municipal Auditorium,poster
2001.066,Moline Tractor and Plow Company Auction,poster
2001.041,"Celebrate A Simple Life - Honoring 80 Years of Cal Turner Sr. Founder of Dollar General Stores, Martina McBride, Paul Overstreet, The Whites",poster
2000.070,"Doug Hoekstra Combo, September 18",poster
2001.058,"Widespread Panic , Sunday  July  25 , Alltel Pavilion at Wallnut Creek",poster
2001.061,"Steve Earle and the Dukes November 17, Georgia Theater",poster
2012.008i,"Slospeed XXX, from American Abstract Artists 60th Anniversary Print Portfolio",print
1999.168,Poster for The Lustre Kings,poster
1988.042,Israel in Egypt's Land,print
2004.049,Total eclipse of the sun,poster
2001.073,Civilization: Furniture for the Masses,poster
2001.133,David Peterson &1946,poster
1998.010,Old Fashioned VEGE-GENE Soup,poster
2001.081,Stand By Your Man: The Tammy Wynette Story,poster
2000.077,"Position East: Artists of East Nashville Group Show, Sherri Warner Hunter, Barbara Harris, (and more)",poster
2016.005.06,Matt Runkle and Alexandra Janezic MFA Thesis Show,poster
2000.068,Jacksonian Apartments,poster
2005.009,ENNCA-Ecco Chamber Society VOLKSMUSIK,poster
2017.001.044,Raw Youth: Child in Coffin,print
