accession_number,locale,description,rel_left_x,rel_right_x,rel_top_y,rel_bottom_y,abs_left_x,abs_right_x,abs_top_y,abs_bottom_y
1979.0804P,,USMC,0.19019019019019018,0.24024024024024024,0.5578734858681023,0.5740242261103634,190,240,829,853
1979.0804P,,BOOKS,0.4544544544544545,0.9169169169169169,0.6069986541049798,0.6736204576043069,454,916,902,1001
1979.0804P,,WANTED,0.4574574574574575,0.9039039039039038,0.6864064602960969,0.7294751009421265,457,903,1020,1084
1979.0804P,,FOR,0.46146146146146144,0.5795795795795796,0.7449528936742934,0.7711978465679677,461,579,1107,1146
1979.0804P,,OUR,0.6086086086086087,0.7467467467467468,0.7442799461641992,0.7705248990578735,608,746,1106,1145
1979.0804P,,MEN,0.7737737737737738,0.9119119119119119,0.743606998654105,0.7698519515477793,773,911,1105,1144
1979.0804P,,IN,0.45845845845845845,0.5255255255255256,0.7799461641991925,0.8122476446837147,458,525,1159,1207
1979.0804P,,CAMP,0.5575575575575575,0.7427427427427428,0.7792732166890982,0.8109017496635262,557,742,1158,1205
1979.0804P,,AND,0.7677677677677678,0.9079079079079079,0.7779273216689099,0.8088829071332436,767,907,1156,1202
1979.0804P,,",",0.9049049049049049,0.9229229229229229,0.7765814266487214,0.8088829071332436,904,922,1154,1202
1979.0804P,,OVER,0.47347347347347346,0.6576576576576577,0.819650067294751,0.8485868102288021,473,657,1218,1261
1979.0804P,,THERE,0.6816816816816816,0.9009009009009009,0.8183041722745625,0.8472409152086138,681,900,1216,1259
1979.0804P,,TAKE,0.46046046046046046,0.5815815815815816,0.8627187079407806,0.8842530282637954,460,581,1282,1314
1979.0804P,,YOUR,0.5955955955955956,0.7197197197197197,0.8613728129205922,0.882907133243607,595,719,1280,1312
1979.0804P,,GIFTS,0.7337337337337337,0.8438438438438438,0.8593539703903096,0.8808882907133243,733,843,1277,1309
1979.0804P,,TO,0.8568568568568569,0.9109109109109109,0.8580080753701211,0.8802153432032301,856,910,1275,1308
1979.0804P,,THE,0.4574574574574575,0.5515515515515516,0.8963660834454913,0.9172274562584118,457,551,1332,1363
1979.0804P,,PUBLIC,0.5645645645645646,0.7167167167167167,0.8950201884253028,0.9152086137281292,564,716,1330,1360
1979.0804P,,LIBRARY,0.7337337337337337,0.9059059059059059,0.8936742934051144,0.9131897711978466,733,905,1328,1357
1979.0806P,en,"T
Victory is a
Question of Stamina
Send-the Wheat
Meat Fats Sugar
the fuel for Fighters
UNITED STATES FOOD ADMINISTRATION
R",0.052,0.943,0.06430155210643015,0.974870657797487,52,943,87,1319
1979.0806P,,T,0.109,0.122,0.06430155210643015,0.08056171470805618,109,122,87,109
1979.0806P,,Victory,0.155,0.571,0.656319290465632,0.7169253510716925,155,571,888,970
1979.0806P,,is,0.617,0.707,0.656319290465632,0.7169253510716925,617,707,888,970
1979.0806P,,a,0.757,0.826,0.656319290465632,0.7169253510716925,757,826,888,970
1979.0806P,,Question,0.052,0.455,0.7191426459719142,0.7753141167775314,52,455,973,1049
1979.0806P,,of,0.474,0.568,0.7169253510716925,0.7738359201773836,474,568,970,1047
1979.0806P,,Stamina,0.58,0.942,0.7161862527716186,0.7723577235772358,580,942,969,1045
