qid,label_en,description_en,instance_of_uuid,instance_of,gender_uuid,gender,orcid_uuid,orcid,orcid_ref1_hash,orcid_ref1_retrieved_nodeId,orcid_ref1_retrieved_val,orcid_ref1_retrieved_prec,employer_uuid,employer,employer_start_time_nodeId,employer_start_time_val,employer_start_time_prec,employer_end_time_nodeId,employer_end_time_val,employer_end_time_prec,employer_ref1_hash,employer_ref1_referenceUrl,employer_ref1_retrieved_nodeId,employer_ref1_retrieved_val,employer_ref1_retrieved_prec
Q101542410,Jason Schultz,librarian,2CD7BC75-B540-4E68-80C9-457D730E7B95,Q5,88A06827-F0F4-4AA1-AB84-98453410F2B3,Q6581097,,,,,,,3F1C159D-4B7C-4D62-AC67-822EE00ED4F0,Q29052,,,,,,,aaeb484164f83b47aeeff11ecc9880fefa52704a,https://www.library.vanderbilt.edu/staff/,f93cf8b14cf423a62d1f698eaea1c8d1,2020-11-13T00:00:00Z,11
Q101542413,Holling Smith-Borne,librarian,FEDF4675-F7B7-407B-9D15-46D8CF8A6C32,Q5,C40B14BE-3056-452F-817E-4D7426B93F6D,Q6581097,,,,,,,419CAB9D-F0C5-4AEA-A80B-DB101D7F17CC,Q29052,,,,,,,aaeb484164f83b47aeeff11ecc9880fefa52704a,https://www.library.vanderbilt.edu/staff/,f93cf8b14cf423a62d1f698eaea1c8d1,2020-11-13T00:00:00Z,11
Q101542414,Kathleen Smith,librarian,3CDEE986-FBDD-4549-AB98-E589F74C7381,Q5,7326BDF6-BD3F-4488-A3F3-2C403F1C3089,Q6581072,,,,,,,91B30EC8-E877-450D-8189-87718E18F633,Q29052,,,,,,,aaeb484164f83b47aeeff11ecc9880fefa52704a,https://www.library.vanderbilt.edu/staff/,f93cf8b14cf423a62d1f698eaea1c8d1,2020-11-13T00:00:00Z,11
Q101542415,Richard Stringer-Hye,librarian,D1C153A4-BBEC-489A-A6E3-32C3C859F719,Q5,19067512-2C18-4195-93F4-2D87D141F358,Q6581097,E2DD637F-49FC-4CF0-AAA7-18EFA6B75D75,0000-0002-3191-3908,818c31bd2e382ff588aaf7b6e11fa5248697d933,f93cf8b14cf423a62d1f698eaea1c8d1,2020-11-13T00:00:00Z,11,C3842FD9-6318-42A3-B5B1-77C7B3346529,Q29052,,,,,,,aaeb484164f83b47aeeff11ecc9880fefa52704a,https://www.library.vanderbilt.edu/staff/,f93cf8b14cf423a62d1f698eaea1c8d1,2020-11-13T00:00:00Z,11
Q101542416,Tao You,librarian,DB735366-8AD1-42CC-949F-0839D5F98097,Q5,90E5C1E8-6E27-404C-94F0-175353CA6674,Q6581072,,,,,,,75326297-0F12-4B2F-AEE9-30475A972096,Q29052,,,,,,,aaeb484164f83b47aeeff11ecc9880fefa52704a,https://www.library.vanderbilt.edu/staff/,f93cf8b14cf423a62d1f698eaea1c8d1,2020-11-13T00:00:00Z,11
Q102053479,Michelle M. Williams,researcher ORCID 0000-0002-7063-9147,E51BA0D6-2654-4FA7-98CB-CBCE715E077B,Q5,,,E489006E-4F7B-4FF1-AC38-325BFB8D19F0,0000-0002-7063-9147,,,,,C2F073F0-45CD-407D-A1C3-E2AAB5968073,Q29052,22cb2e2b4f82a382f875036956accde8,2012-08-01T00:00:00Z,10,0ea5e12d0642b32aef82a951ec27792e,2017-08-01T00:00:00Z,10,9d49cfef0beae75508af583c8c8d54b659bf331e,https://pub.orcid.org/v3.0_rc1/0000-0002-7063-9147/employment/8183030,8c2bdc5006a93f73a2b03849218b4e7b,2021-01-10T00:00:00Z,11
Q102053604,Júlia Miranda Ribeiro Bazzano,researcher,E8AA036A-5DCD-4604-8B4F-F5647DF3F670,Q5,,,C5653824-1B80-43A4-9AE1-0D6A0AD42731,0000-0001-9847-4623,,,,,BBBF1066-0D92-4BF4-80A7-740422909744,Q7914455,d7c982940a2ec1369c2dddbdec09d903,2020-01-06T00:00:00Z,11,,,,53906ec926210b03a5660784a8479a4e55235162,https://pub.orcid.org/v3.0_rc1/0000-0001-9847-4623/employment/12560010,8c2bdc5006a93f73a2b03849218b4e7b,2021-01-10T00:00:00Z,11
Q102058686,W Liu,researcher ORCID 0000-0002-2139-4104,29817070-8F19-44A4-9D8A-DC0C406A4005,Q5,,,AE0FBDAF-98BC-43AC-AC11-ECEAE7D17010,0000-0002-2139-4104,,,,,50A680ED-4244-4E86-9288-40E273AB1559,Q29052,79deb1ffdf4d3d8115cca094313111b4,2017-11-01T00:00:00Z,11,,,,66bead21556d88ee3fefcff4fded3d234a08317c,https://pub.orcid.org/v3.0_rc1/0000-0002-2139-4104/employment/9378725,8c2bdc5006a93f73a2b03849218b4e7b,2021-01-10T00:00:00Z,11
Q102058687,Archana Krishnamoorthy,biochemist,24649EDC-CD92-45F0-948B-13E4A4A282C2,Q5,EABC0DBA-4B1A-4D97-B6F9-3A38AFA6B8DB,Q6581072,C770F9DB-0731-4993-8032-0A9FDB61DFD6,0000-0002-3305-6612,220cc132746fe9acd80a3cb4f6ae76cf4987b557,2a68b3b6d92a22e996103537101c3b1b,2021-03-27T00:00:00Z,11,967436E5-4975-4F9D-974A-E2039838FA2F,Q29052,,,,,,,64ecd2a0511cf738f1d89e8b23054f932ccfa7dd,https://orcid.org/0000-0002-3305-6612,2a68b3b6d92a22e996103537101c3b1b,2021-03-27T00:00:00Z,11
Q102058867,Nolan J. Beatty,researcher,AF8C03B9-8AB3-4F87-A448-D845CC591DFA,Q5,,,9F377F81-FCBD-4A71-AF7B-6C8B9CCE34C3,0000-0002-3184-6602,,,,,C690F3AA-0E00-421F-B92F-F392DFB36B6C,Q7914455,24fe94464b7d240a483f7d3e3b746e0f,2017-01-01T00:00:00Z,9,abf1a3e5e760b317cb5ae59fc51c6c9e,2018-07-20T00:00:00Z,11,b208661449afdb08513b72224f7cf321eaeb9bf8,https://pub.orcid.org/v3.0_rc1/0000-0002-3184-6602/employment/5595867,8c2bdc5006a93f73a2b03849218b4e7b,2021-01-10T00:00:00Z,11
