qid,type,noun,label,object_description,form_description,design_description,includes,noun
Q102964354,ceramics,dish,Dish with a  design in blue underglaze of a landscape,Dish,,,a  design in blue underglaze of a landscape,dish
Q102964357,ceramics,dish,Dish with a design in black underglaze of abstract floral and geometric design,Dish,,in black underglaze of abstract floral and geometric design,,dish
Q102964361,ceramics,dish,Dish with a design in blue under glaze of a crab,Dish,,in blue under glaze of a crab,,dish
Q102964369,ceramics,dish,Dish with a design in blue under glaze of crabs and a character for longevity,Dish,,in blue under glaze of crabs and a character for longevity,,dish
Q102964376,ceramics,dish,Dish with a design in blue under glaze of crabs and characters for good luck and happiness,Dish,,in blue under glaze of crabs and characters for good luck and happiness,,dish
Q102964382,ceramics,dish,Dish with a design in blue underglaze of a Chinese-style design which include a serpent and abstract patterns,Dish,,in blue underglaze of a Chinese-style design which include a serpent and abstract patterns,,dish
Q102964391,ceramics,dish,Dish with a design in blue underglaze of abstract design,Dish,,in blue underglaze of abstract design,,dish
Q102964398,ceramics,dish,"Dish with a design in blue underglaze of birds, rice stalks, and a flower pattern; on the underside, four pairs of flying sea plovers",Dish,,"in blue underglaze of birds, rice stalks, and a flower pattern; on the underside, four pairs of flying sea plovers",,dish
Q102964409,ceramics,dish,"Dish with a design in blue underglaze of fan, vase, gourd and assorted flowers",Dish,,"in blue underglaze of fan, vase, gourd and assorted flowers",,dish
Q102964417,ceramics,dish,Dish with a design in blue underglaze of four Chinese men and a catfish in the center,Dish,,in blue underglaze of four Chinese men and a catfish in the center,,dish
Q102964424,ceramics,dish,Dish with a design in blue underglaze of iris,Dish,,in blue underglaze of iris,,dish
Q102964441,ceramics,dish,"Dish with a design of a bird, wasps, and flowers (celadon ware)",Dish,,"of a bird, wasps, and flowers (celadon ware)",,dish
Q102964451,ceramics,dish,Dish with a design of an old man and three boys in a boat,Dish,,of an old man and three boys in a boat,,dish
Q102964456,ceramics,dish,"Dish with a design of flowers and small buds with four-color glaze in green, brown, blue, and white",Dish,,"of flowers and small buds with four-color glaze in green, brown, blue, and white",,dish
Q102964464,ceramics,dish,Dish with a design of two Taoist immortals,Dish,,of two Taoist immortals,,dish
Q102964471,ceramics,dish,Dish with a floral design in blue under glaze with vine design on the bottom,Dish,,,a floral design in blue under glaze with vine design on the bottom,dish
Q102964488,ceramics,dish,Dish with blue underglaze,Dish,,,blue underglaze,dish
Q102964496,ceramics,dish,Dish with floral design with celadon crackle glaze,Dish,,,floral design with celadon crackle glaze,dish
Q102964501,ceramics,dish,"Dish with floral designs, colors on white ground (Export ware)",Dish,,,"floral designs, colors on white ground (Export ware)",dish
Q102964506,ceramics,dish,Dish with green glaze with a impressed seal of a sea plover on base (part of a set with Soba-choko),Dish,,,green glaze with a impressed seal of a sea plover on base (part of a set with Soba-choko),dish
Q102964524,work of art,instrument,Divination instrument in the shape of an animal with long protruding head and tail with small rubbing staff attached,Divination instrument,an animal with long protruding head and tail with small rubbing staff attached,,,instrument
Q102964535,work of art,* Noun not detected!,Doll (framed),Doll (framed),,,,* Noun not detected!
Q102964543,work of art,doll,Doll in a basket,Doll in a basket,,,,doll
Q102964569,ceramics,effigy,Dove effigy with design in pigment,Dove effigy,,in pigment,,effigy
Q102964585,work of art,pin,Dragon Pin,Dragon Pin,,,,pin
Q102964604,textile,bag,Draw-string bag,Draw-string bag,,,,bag
Q102964615,ceramics,dropper,Drinking Gourd-Shaped Suiteki (Water Dropper) with a Design of Two Galloping Horses,Drinking Gourd-Shaped Suiteki (Water Dropper),,of Two Galloping Horses,,dropper
Q102964625,work of art,drum,Drum,Drum,,,,drum
Q102964630,ceramics,vase,Duck vase,Duck vase,,,,vase
Q102964666,work of art,pendant,Eagle pendant with detailed head,Eagle pendant,,,detailed head,pendant
Q102964712,ceramics,vase,Effigy vase in the form of an owl,Effigy vase,an owl,,,vase
Q102964718,work of art,cup,Eight-sided white jade wine cup,Eight-sided white jade wine cup,,,,cup
Q102964848,textile,fabric,Fabric,Fabric,,,,fabric
Q102964852,textile,fabric,Fabric with printed figure,Fabric,,,printed figure,fabric
Q102964889,ceramics,krater,Faliscan Red-Figure Bell Krater,Faliscan Red-Figure Bell Krater,,,,krater
Q102964907,work of art,case,"Fan Case, with Netsuke (Toggle) in the Form of a Drinking Gourd with an Ivory Screw-Cap","Fan Case, with Netsuke (Toggle)",a Drinking Gourd with an Ivory Screw-Cap,,,case
Q102964914,ceramics,ware,Fan shaped blue and white glazed dish (kutani ware),Fan shaped blue and white glazed dish (kutani ware),,,,ware
Q102964920,work of art,box,Fan shaped box with family crest (mon) of three bamboo shoots,Fan shaped box,,,family crest (mon) of three bamboo shoots,box
Q102964946,sculpture,dancer,Female Dancer,Female Dancer,,,,dancer
Q102964952,ceramics,figure,Female figure with scars from pierced cheeks,Female figure,,,scars from pierced cheeks,figure
Q102964958,ceramics,figure,Female funerary figure,Female funerary figure,,,,figure
Q102965023,ceramics,figure,Figure,Figure,,,,figure
Q102965076,ceramics,figurine,Figurine of Daruma (Sanskrit: Bodhidharma),Figurine of Daruma (Sanskrit: Bodhidharma),,,,figurine
Q102965128,ceramics,bowl,Flared bowl with red designs,Flared bowl,,,red designs,bowl
Q102965138,ceramics,bowl,Flat bowl with four bulging legs,Flat bowl,,,four bulging legs,bowl
Q102965236,ceramics,bowl,Footed bowl,Footed bowl,,,,bowl
Q102965242,ceramics,ware,Footed dish (Imari ware),Footed dish (Imari ware),,,,ware
Q102965249,ceramics,dish,"Footed dish with a design of flowers, fruit, and bats",Footed dish,,"of flowers, fruit, and bats",,dish
Q102965259,ceramics,vase,Footed gourd vase,Footed gourd vase,,,,vase
Q102965265,ceramics,leaf,Footed leaf shaped dish with temmoku glaze,Footed leaf shaped dish,,,temmoku glaze,leaf
Q102965356,ceramics,bowl,Frog-leg bowl,Frog-leg bowl,,,,bowl
Q102965558,work of art,ferrule,Fuchi (Sword Handle Ferrule) with a Design of a Chinese-Style Building and Landscape with a Figure and a Flag,Fuchi (Sword Handle Ferrule),,of a Chinese-Style Building and Landscape with a Figure and a Flag,,ferrule
Q102965564,work of art,ferrule,Fuchi (Sword Handle Ferrule) with a Design of a Flying Goose and Bamboo,Fuchi (Sword Handle Ferrule),,of a Flying Goose and Bamboo,,ferrule
Q102965569,work of art,ferrule,Fuchi (Sword Handle Ferrule) with a Design of a Man with a Three-Legged Toad,Fuchi (Sword Handle Ferrule),,of a Man with a Three-Legged Toad,,ferrule
Q102965582,work of art,ferrule,Fuchi (Sword Handle Ferrule) with a Design of a Tree and Fireflies,Fuchi (Sword Handle Ferrule),,of a Tree and Fireflies,,ferrule
Q102965590,work of art,ferrule,Fuchi (Sword Handle Ferrule) with a Design of Cherry Blossoms,Fuchi (Sword Handle Ferrule),,of Cherry Blossoms,,ferrule
Q102965596,work of art,ferrule,Fuchi (Sword Handle Ferrule) with a Design of Chrysanthemums,Fuchi (Sword Handle Ferrule),,of Chrysanthemums,,ferrule
Q102965602,work of art,ferrule,Fuchi (Sword Handle Ferrule) with a Design of Fish,Fuchi (Sword Handle Ferrule),,of Fish,,ferrule
