accession_number,mid,description,score,topicality
1980.003,/m/034wh,Graffiti,0.80291265,0.80291265
1980.003,/m/01n32,City,0.7756973,0.7756973
1980.003,/m/02q_bfg,Tints and shades,0.7640459,0.7640459
1980.010,/m/0jjw,Art,0.80590457,0.80590457
1980.010,/m/03r_vp,Adaptation,0.7927302,0.7927302
1980.010,/m/02q_bfg,Tints and shades,0.75559455,0.75559455
1980.010,/m/08v4gh,Vintage clothing,0.7473339,0.7473339
1980.010,/m/07j7r,Tree,0.6744397,0.6744397
1980.010,/m/0p9xx,Visual arts,0.65714484,0.65714484
1980.010,/m/03g3w,History,0.65463805,0.65463805
1980.010,/m/06ht1,Room,0.6491372,0.6491372
1980.010,/g/12233hjw,Classic,0.64848125,0.64848125
1980.010,/m/036jvk,Stock photography,0.6465728,0.6465728
1980.015,/m/05s2s,Plant,0.88809276,0.88809276
1980.015,/m/0jjw,Art,0.818376,0.818376
