accession_number,description,score,rel_left_x,rel_right_x,rel_top_y,rel_bottom_y,abs_left_x,abs_right_x,abs_top_y,abs_bottom_y
1982.080,Person,0.54737145,0.61292464,0.7830849,0.3805519,0.62336975,612,782,382,626
1982.080,Person,0.53152484,0.20789403,0.37664303,0.3829808,0.62937146,208,376,385,633
1982.080,Toy,0.5290442,0.61017364,0.7854125,0.061398547,0.33060324,610,785,62,332
1982.080,Person,0.5274339,0.20291235,0.3750852,0.68894035,0.93414307,203,375,692,939
1982.080,Toy,0.5185696,0.004677288,0.16810048,0.067092374,0.32509667,5,168,67,327
1982.081,Person,0.81813574,0.59375566,0.70025975,0.3672748,0.5626429,594,700,368,563
1982.081,Person,0.7781234,0.25915825,0.33737025,0.39866462,0.5845836,259,337,399,585
1982.081,Clothing,0.6887357,0.5929779,0.70098144,0.38312662,0.5600924,593,701,384,561
1982.081,Picture frame,0.6555437,0.14888291,0.8520558,0.25169763,0.74585885,149,852,252,747
1982.081,Person,0.6247625,0.4727207,0.5737887,0.4619191,0.5919205,473,574,462,593
1982.081,Person,0.58378863,0.30701032,0.42868796,0.46605358,0.5929743,307,429,467,594
1982.081,Person,0.52448875,0.362602,0.43755552,0.30989054,0.48724744,363,438,310,488
1982.082,Person,0.8358972,0.11558203,0.31777757,0.1356379,0.6169252,116,318,137,621
1982.082,Outerwear,0.71597314,0.11358247,0.31639197,0.13977519,0.5931531,114,316,141,597
1982.082,Luggage & bags,0.642751,0.17216013,0.28942388,0.35810283,0.47657403,172,289,361,480
1982.082,Bag,0.5499005,0.17440955,0.29000732,0.35474172,0.47356322,174,290,357,477
1982.083,Picture frame,0.7697537,0.0,0.9896193,0.16648243,0.8189447,0,999,166,818
1982.084,Person,0.643085,0.09647393,0.91377085,0.07943213,0.9929226,97,916,79,993
1982.085,Animal,0.6315426,0.8085037,0.967736,0.7403857,0.8956968,814,975,740,896
1982.085,Animal,0.62214935,0.21335118,0.48618263,0.028264634,0.2943503,215,490,28,294
1982.085,Hat,0.5011131,0.012246076,0.9763878,0.026960224,0.93338346,12,983,27,933
1982.086,Person,0.5854688,0.022647643,0.9482731,0.0038183772,0.9776966,23,948,4,982
1982.088,Packaged goods,0.6397674,0.022894569,0.9742091,0.0008305679,0.9917612,23,976,1,992
