Title,Url,yes/no
Welfare and Women in Poor Urban Neighborhoods: The Effect of Dependency on Attitudinal Indicators,http://search.proquest.com/socabs/docview/60394082/C6BEB668113C48A1PQ/14?accountid=14816,
Ebonics and Public Awareness: Who Knows? Who Cares?,http://search.proquest.com/socabs/docview/61561240/C6BEB668113C48A1PQ/11?accountid=14816,
"Attitudes, Behavior, and Social Networks in Poor Urban Neighborhoods: Challenges for More Comprehensive Research and Teaching",http://search.proquest.com/socabs/docview/61749955/C6BEB668113C48A1PQ/10?accountid=14816,
Priestly and Prophetic Influences on Black Church Social Sciences,http://search.proquest.com/socabs/docview/60103498/C6BEB668113C48A1PQ/9?accountid=14816,
Black Church Culture and Community Action,http://search.proquest.com/socabs/docview/60050515/C6BEB668113C48A1PQ/8?accountid=14816,
"Theological, Denominational, and Organizational Influences on Ecumenical Involvement between Black and White Churches",http://search.proquest.com/socabs/docview/754039710/C6BEB668113C48A1PQ/6?accountid=14816,
Black on the Block: The Politics of Race and Class in the City,http://search.proquest.com/socabs/docview/59968119/C6BEB668113C48A1PQ/5?accountid=14816,
Streets of Glory: Church and Community in a Black Urban Neighborhood,http://search.proquest.com/socabs/docview/60103847/C6BEB668113C48A1PQ/4?accountid=14816,
The Black Family: Essays and Studies (6th edition),http://search.proquest.com/socabs/docview/60459006/C6BEB668113C48A1PQ/2?accountid=14816,
Black megachurch culture: models for education and empowerment,,
Whosoever will let her come: social activism and gender inclusivity in the Black church,,
Then and now: a comparative analysis of the urban black church in America,http://search.ebscohost.com/login.aspx?direct=true&db=rfh&AN=ATLA0001338668&site=ehost-live,
Du Bois on religion,,
"Religion in the lives of African Americans: social, psychological, and health perspectives",,
Religion and rap music: an analysis of Black church usage,http://search.ebscohost.com/login.aspx?direct=true&db=rfh&AN=ATLA0001656609&site=ehost-live,
Black church sponsorship of economic programs: a test of survival and liberation strategies,http://search.ebscohost.com/login.aspx?direct=true&db=rfh&AN=ATLA0001929171&site=ehost-live,
Black Family Instability Thesis,,
"""Black English"" (Ebonics)",,
American Dream Ideology,,
A Sociological Examination of Du Bois's The Souls of Black Folk,http://www.princeton.edu/~jweisenf/northstar/volume6/barnes.html,
Black Church Culture: How Clergy Frame Social Problems and Solutions,,
Chinese Megachurch Persecution: Application of an Indigenous Resource Framework,http://redfame.com/journal/index.php/ijsss/article/view/12,
Voices among the Vulnerable: An Analysis of Native American Newspaper Articles,,
"To Welcome or Affirm: Black Clergy Views About Homosexuality, Inclusivity, and Church Leadership",http://dx.doi.org/10.1080/00918369.2013.819204,
Ghetto,http://go.galegroup.com/ps/i.do?id=GALE%7CCX3045300923&v=2.1&u=nash87800&it=r&p=GVRL&sw=w&asid=405870010d237644dc0401ebb7d4020e,
An Examination of the Sexual Behavior of Middle-Class African American Female College Freshmen,http://www.jstor.org/stable/10.5406/blacwomegendfami.4.2.0001,
Romantic and Familial Relationships with Black Males:,http://www.jstor.org/stable/10.5406/blacwomegendfami.3.2.0001,
Black Megachurches: Social Gospel Usage and Community Empowerment,http://search.proquest.com/socabs/docview/1364699999/C6BEB668113C48A1PQ/35?accountid=14816,
Abolitionist Movement,,
"""The alpha and omega of our people"" : a sociological examination of the promise and problems of the contemporary Black church",,
Religion and Rap Music: An Analysis of Black Church Usage,,
