accession_number,status,description,image_url
1957.028,uploaded,Cake stand,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F1957%2F1957.028.jpg/pct:10.498047000000001,34.179688000000006,80.908203,38.476561999999994/full/0/default.jpg"
1957.030,uploaded,Wine glass,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F1957%2F1957.030.jpg/pct:27.734375,21.484375,47.265625,62.5/!512,512/0/default.jpg"
1957.030,uploaded,Tableware,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F1957%2F1957.030.jpg/pct:27.734375,21.484375,47.265625,62.5/!512,512/0/default.jpg"
1957.032,uploaded,Painting,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F1957%2F1957.032.tif/pct:6.347656,5.517578,88.183594,90.576172/!512,512/0/default.jpg"
1957.033,uploaded,Boat,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F1957%2F1957.033.jpg/pct:40.234375,14.453125,56.640625,58.203125/full/0/default.jpg"
1957.034,uploaded,Painting,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F1957%2F1957.034.jpg/pct:12.158202999999999,3.5888672,76.904297,89.3798828/full/0/default.jpg"
1957.038,uploaded,Painting,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F1957%2F1957-038.tif/pct:7.714844,8.4472656,82.128906,81.3964844/!512,512/0/default.jpg"
1957.039,uploaded,Person,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F1957%2F1957.039.jpg/pct:4.272461000000001,21.191405999999997,63.69628899999999,70.214844/full/0/default.jpg"
1957.039,uploaded,Clothing,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F1957%2F1957.039.jpg/pct:4.272461000000001,21.191405999999997,63.69628899999999,70.214844/full/0/default.jpg"
1957.039,uploaded,Table,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F1957%2F1957.039.jpg/pct:48.4375,40.625,30.078125,26.171875/full/0/default.jpg"
1957.040,uploaded,Painting,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F1957%2F1957-040.tif/pct:3.0761719,0.12588501,93.7988281,92.84286499/!512,512/0/default.jpg"
1957.041,uploaded,Painting,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F1957%2F1957-041.tif/pct:6.542969,7.1777344,89.550781,84.2285156/!512,512/0/default.jpg"
1957.042,uploaded,Painting,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F1957%2F1957.042.tif/pct:3.2958983999999996,2.6367188,92.0166016,95.80078119999999/!512,512/0/default.jpg"
1957.043,uploaded,Painting,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F1957%2F1957.043.jpg/pct:8.7890625,2.3315430000000004,83.3984375,92.199707/full/0/default.jpg"
1957.046,uploaded,Painting,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F1957%2F1957.046.jpg/pct:6.4941406,4.711913999999999,81.3964844,88.256836/full/0/default.jpg"
1957.046,uploaded,Shoe,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F1957%2F1957.046.jpg/pct:36.71875,83.59375,21.09375,8.203125/full/0/default.jpg"
1964.005,uploaded,House,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F1964%2F1964.005.jpg/pct:33.203125,36.71875,46.09375,41.796875/full/0/default.jpg"
1964.006,uploaded,House,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F1964%2F1964.006.jpg/pct:9.765625,21.972655999999997,80.46875,51.464844/full/0/default.jpg"
1964.010,uploaded,Chair,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F1964%2F1964.010.jpg/pct:48.4375,39.648438000000006,11.328125,24.804686999999998/full/0/default.jpg"
1964.011,uploaded,House,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F1964%2F1964.011.jpg/pct:11.5234375,16.210938,34.5703125,37.695312/full/0/default.jpg"
1964.012,uploaded,Window,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F1964%2F1964.012.jpg/pct:38.671875,48.632811999999994,9.570313000000002,13.476563000000002/full/0/default.jpg"
1964.012,uploaded,Door,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F1964%2F1964.012.jpg/pct:57.421875,49.609375,8.59375,20.3125/full/0/default.jpg"
1964.012,uploaded,House,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F1964%2F1964.012.jpg/pct:20.410155999999997,11.5234375,63.183594,63.8671875/full/0/default.jpg"
1964.016,uploaded,House,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F1964%2F1964.016.jpg/pct:22.363280999999997,10.107422000000001,69.042969,60.595703/full/0/default.jpg"
1964.017,uploaded,House,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F1964%2F1964.017.jpg/pct:37.109375,40.234375,35.9375,26.5625/full/0/default.jpg"
1964.020,uploaded,House,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F1964%2F1964.020.jpg/pct:11.1816406,24.902344000000003,70.0683594,53.613281/full/0/default.jpg"
1965.001,uploaded,Animal,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F1965%2F1965.001.tif/pct:26.5625,21.582030999999997,22.851561999999998,67.480469/!512,512/0/default.jpg"
1965.001,uploaded,Rabbit,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F1965%2F1965.001.tif/pct:26.5625,21.582030999999997,22.851561999999998,67.480469/!512,512/0/default.jpg"
1965.004,uploaded,Painting,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F1965%2F1965-004.tif/pct:7.861327999999999,11.816406,84.716797,75.683594/!512,512/0/default.jpg"
1965.005,uploaded,Painting,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F1965%2F1965.005.tif/pct:1.5258789,1.5380858999999998,96.9116211,94.9462891/!512,512/0/default.jpg"
1965.007,uploaded,Painting,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F1965%2F1965-007.tif/pct:13.964844000000001,8.4472656,73.144531,84.5214844/!512,512/0/default.jpg"
1965.007,uploaded,Person,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F1965%2F1965-007.tif/pct:13.964844000000001,8.4472656,73.144531,84.5214844/!512,512/0/default.jpg"
