accession_number,description,score,rel_left_x,rel_right_x,rel_top_y,rel_bottom_y,abs_left_x,abs_right_x,abs_top_y,abs_bottom_y
2015.075.36,Chair,0.5346452,0.10845983,0.33294126,0.26640013,0.6016571,108,333,374,845
2015.075.36,Table,0.50542116,0.16399974,0.79282403,0.36784503,0.7668088,164,793,516,1077
2015.075.37,Cabinetry,0.7420415,0.0,0.36028135,0.32541883,0.5758863,0,360,458,810
2015.075.37,Person,0.570102,0.5162199,0.76601547,0.44920444,0.6859738,516,766,632,964
2015.075.37,Person,0.5191893,0.70873946,0.99242276,0.3971826,0.7646825,709,992,558,1075
2015.075.38,Pillow,0.53357965,0.10359859,0.8935197,0.48900142,0.94895273,103,893,705,1367
2015.075.39,Person,0.8460221,0.6293611,0.7249971,0.15726578,0.43830618,629,725,222,619
2015.075.39,Person,0.83915365,0.22486247,0.32727256,0.18908827,0.41130504,225,327,267,581
2015.075.39,Person,0.82604694,0.096871376,0.22542508,0.48576072,0.7891149,97,225,686,1114
2015.075.39,Person,0.8137723,0.62063867,0.75032943,0.49458253,0.79088855,621,750,698,1117
2015.075.39,Person,0.80201036,0.71570784,0.8454284,0.15094061,0.42776287,716,845,213,604
2015.075.39,Person,0.79919046,0.11320647,0.23219539,0.17208369,0.41768754,113,232,243,590
2015.075.39,Person,0.7894624,0.21479823,0.32387894,0.48587596,0.7873921,215,324,686,1112
2015.075.39,Person,0.78052694,0.71825916,0.8517866,0.49282527,0.79435325,718,852,696,1122
2015.075.39,Pants,0.6915267,0.121025205,0.20916413,0.29811,0.41384065,121,209,421,584
2015.075.39,Dress,0.6734777,0.72089773,0.84319323,0.18404359,0.376771,721,843,260,532
2015.075.40,Person,0.80546314,0.012431142,0.44192064,0.3804691,0.8531057,12,442,549,1232
2015.075.40,Packaged goods,0.71283567,0.0030911025,0.9973958,0.02685491,0.9277744,3,997,39,1340
2015.075.40,Person,0.69650525,0.4938996,0.9916255,0.35813987,0.81435686,494,992,517,1176
2015.075.40,Hat,0.69143265,0.20853533,0.43838516,0.33781293,0.4458212,209,438,488,644
2015.075.40,Hat,0.5405263,0.52664924,0.7250239,0.35108435,0.44664323,527,725,507,645
2015.075.41,Packaged goods,0.8086661,0.0,0.9973958,0.004232026,0.95838803,0,997,6,1399
2015.075.41,1D barcode,0.5703204,0.664727,0.75635386,0.7528434,0.89378446,665,756,1099,1305
2015.075.42,Person,0.77279675,0.11472749,0.444211,0.29622012,0.89734966,115,444,416,1261
2015.075.42,Person,0.75832486,0.0042340476,0.24889113,0.24522424,0.98657036,4,249,345,1386
2015.075.42,Person,0.711414,0.09369266,0.43646768,0.07253643,0.3400186,94,436,102,478
2015.075.43,Person,0.8158549,0.409986,0.9966459,0.23454137,0.96309257,410,996,333,1366
2015.075.43,Top,0.8117176,0.41246542,0.99483764,0.3618457,0.9637016,412,994,513,1367
2015.075.43,Packaged goods,0.6179709,0.0,0.9973958,0.04463439,0.9688608,0,996,63,1374
2015.075.43,Clothing,0.56140083,0.40913817,0.9964638,0.30936524,0.9572675,409,995,439,1357
2015.075.44,Person,0.85452336,0.1735062,0.87386554,0.32057652,0.9661701,174,874,454,1367
2015.075.44,Pants,0.5940844,0.14688054,0.78803647,0.7265349,0.96074873,147,788,1028,1359
2015.075.45,Packaged goods,0.67161375,0.0,0.9973958,0.018401291,0.972995,0,1456,18,973
2015.075.46,Person,0.6625143,0.20043384,0.7453752,0.026793944,0.99425167,296,1099,27,994
2015.075.47,Person,0.7611391,0.0,0.9208064,0.08924503,0.9242175,0,1393,89,923
2015.075.47,Couch,0.5616837,0.0011065024,0.9153242,0.06607075,0.9445493,2,1385,66,944
2015.075.48,Person,0.5676203,0.018564034,0.9566893,0.013580597,0.98539037,26,1346,14,985
2015.075.50,Packaged goods,0.54867965,0.013233293,0.9828436,0.020709535,0.98806524,13,982,28,1351
2015.075.51,Shoe,0.92580533,0.53754807,0.7131731,0.31790838,0.5399074,537,712,398,676
2015.075.51,Shoe,0.8624687,0.14363766,0.33504298,0.31158778,0.52955765,143,335,390,663
2015.075.51,Shoe,0.8370189,0.3175882,0.4914306,0.31794566,0.5307578,317,491,398,665
2015.075.51,Shoe,0.82469594,0.6962068,0.86681724,0.32311186,0.53802544,696,866,405,674
