qid,label_en,depicts_uuid,depicts,depicts_ref1_hash,depicts_ref1_statedIn,depicts_ref1_referenceUrl,depicts_ref1_retrieved_nodeId,depicts_ref1_retrieved_val,depicts_ref1_retrieved_prec
Q102963769,Container in the shape of a squatting figure with broad face and goggles on his head,,,,,,,,
Q102963776,Container with a strap handle and human head,,,,,,,,
Q102963782,Container with swastika design and inscription for Buddhist effigy with drawstring bead (ojime),,,,,,,,
Q102963786,Copy of Orpheus and Eurydice by Nicolas Poussin,,,,,,,,
Q102963795,Cordoba,,,,,,,,
Q102963806,Corrugated (1 of 8),,,,,,,,
Q102963816,Corrugated (2 of 8),,,,,,,,
Q102963822,Corrugated (3 of 8),,,,,,,,
Q102963828,Corrugated (4 of 8),,,,,,,,
Q102963839,Corrugated (5 of 8),,,,,,,,
Q102963848,Corrugated (6 of 8),,,,,,,,
Q102963856,Corrugated (7 of 8),,,,,,,,
Q102963866,Corrugated (8 of 8),,,,,,,,
Q102963875,"Counseling, Denver, Colorado",,,,,,,,
Q102963880,Country scene with a trestle,,,,,,,,
Q102963885,"Couple of Girls, from: 10 West Coast Artists",,,,,,,,
Q102963889,Courtesans Walking on a Street in the New Yoshiwara,,,,,,,,
Q102963899,"Cover for magazine of the Miami Herald, Dec. 30, 1979",,,,,,,,
Q102963906,Covered bowl with a landscape design (Kutani ware),,,,,,,,
Q102963910,Covered clam shell dish with a design of shell feet and a figure in a landscape (Kutani ware),,,,,,,,
Q102963916,Covered Pot,,,,,,,,
