qid,label_en,creator_uuid,creator,creator_ref1_hash,creator_ref1_statedIn,creator_ref1_referenceUrl,creator_ref1_retrieved_nodeId,creator_ref1_retrieved_val,creator_ref1_retrieved_prec
Q104032047,,095A56FC-ACB6-4A0D-B188-ED4966F57916,Q3174119,11f22d196f4b3f456fb9fe6eab9108f8ad4d6408,,https://library.artstor.org/#/asset/26758856,647c44f6-c3de-40db-b859-eee7b03ba0db,2021-02-01T00:00:00Z,11
Q104032048,,58EBC820-49F4-4A4E-881F-515E20937B82,Q3174119,b1804803ea58a45a6ea5bf6ef3c647d6fbbcbe9a,,https://library.artstor.org/#/asset/26758857,33a79928-7b17-481e-9a04-27ffe366d55a,2021-02-01T00:00:00Z,11
Q104032050,,39649700-C4E5-48E6-BB1E-B437177428FD,Q3174119,e8b20d0024ee016e6629d278134c70692011a4a1,,https://library.artstor.org/#/asset/26758858,930fcea8-7270-4428-b732-8f04cd085ec9,2021-02-01T00:00:00Z,11
Q104032051,,54065EEF-3496-4C41-B639-1CB157E267B1,Q3174119,153550bbcd59a244cff31437064412e17878da07,,https://library.artstor.org/#/asset/26758859,73cfb8b8-b6df-4936-8616-f568a856fb1a,2021-02-01T00:00:00Z,11
Q104032052,,30812A8F-ED60-4D01-81C9-390D05020578,Q3174119,f3f4dbc015c7bafd99795bdfd8906317556d763f,,https://library.artstor.org/#/asset/26758860,656f79e3-4c73-44ed-9c50-900699c13ff8,2021-02-01T00:00:00Z,11
Q104032053,,32B4DEBA-6C32-4840-B10E-717C7AB6A660,Q3174119,d854471bf5830179036c82342f9ee5a1680c90e9,,https://library.artstor.org/#/asset/26758861,3b63ab2c-35e0-42f1-9417-9ec66814e1b3,2021-02-01T00:00:00Z,11
Q104032054,,C544C631-C157-4FBB-B42E-08670A1BECC4,Q3174119,bd89977d0b2abf2bc3ef688effe0a9d9c7789621,,https://library.artstor.org/#/asset/26758862,c4b94c15-b490-401c-bb54-b93c64a0bec8,2021-02-01T00:00:00Z,11
Q104032055,,C982E42E-776C-40CB-8CBD-1FA5EE9C19EA,Q3174119,ae1db28db6442234fc6960e588e01a27e84f0d00,,https://library.artstor.org/#/asset/26758863,a5a88431-14bf-4150-8f90-3b23135b2bb0,2021-02-01T00:00:00Z,11
Q104032056,,E7640C0A-E57A-48A6-8257-44E7759085E4,Q3174119,7181486b114fd79eebcefd789f923dbbe8727328,,https://library.artstor.org/#/asset/26758864,8bcd91ac-1c8f-42da-ac52-ca4ae144759f,2021-02-01T00:00:00Z,11
Q104032058,,EB167F4D-DE59-48AB-9F2D-973CDE3B9E97,Q3174119,76d218b26b23cd4173345f56064c5ded80120ea9,,https://library.artstor.org/#/asset/26758865,c219cb91-b66e-4f53-a707-77db610312cf,2021-02-01T00:00:00Z,11
