qid,searched,last_first,description,name,creator_string
,,"Berger, Paul Eric","American photographer and printmaker, born 1948",Paul Eric Berger,"[""Berger, Paul Eric (American photographer and printmaker, born 1948)""]"
,,"Bernard, Émile","French painter, sculptor, and engraver, 1868-1941",Émile Bernard,"[""Bernard, Émile (French painter, sculptor, and engraver, 1868-1941)""]"
,,"Bernard, Jean-Joseph","French calligrapher and draftsman, 1740-1809",Jean-Joseph Bernard,"[""Bernard, Jean-Joseph (French calligrapher and draftsman, 1740-1809)""]"
,,"Bernards, B.",,B. Bernards,"[""Bernards, B.""]"
,,"Bertelli, Luca","Italian printmaker, publisher, active ca. 1560-ca. 1594",Luca Bertelli,"[""Bertelli, Luca (Italian printmaker, publisher, active ca. 1560-ca. 1594)""]"
,,"Berthold, Joachim","German sculptor, 1917-1990",Joachim Berthold,"[""Berthold, Joachim (German sculptor, 1917-1990)""]"
,,"Bertini, Gianni","Italian painter, born 1922",Gianni Bertini,"[""Bertini, Gianni (Italian painter, born 1922)""]"
,,"Bettelini, Pietro Antonio Leone","Italian engraver, 1763-1829",Pietro Antonio Leone Bettelini,"[""Bettelini, Pietro Antonio Leone (Italian engraver, 1763-1829)""]"
,,"Betts, Louis","American painter, 1873-1961",Louis Betts,"[""Betts, Louis (American painter, 1873-1961)""]"
,,"Beuys, Joseph","German sculptor, performance artist, and printmaker, 1921-1986",Joseph Beuys,"[""Beuys, Joseph (German sculptor, performance artist, and printmaker, 1921-1986)""]"
,,"Bicknell, William Harry Warren","American etcher, 1860-1947",William Harry Warren Bicknell,"[""Bicknell, William Harry Warren (American etcher, 1860-1947)""]"
,,"Biel-Bienne, Eugene","1902-1969, born Vienna, Austria",Eugene Biel-Bienne,"[""Biel-Bienne, Eugene (1902-1969, born Vienna, Austria)"",""Biel-Bienne, Eugene (1902-1969, born Vienna, Austria, died Nashville, TN)"",""Biel-Bienne, Eugene (1910-1969, born Vienna, Austria)""]"
,,"Bill, Max","Swiss architect, painter, and sculptor, 1908-1994",Max Bill,"[""Bill, Max (Swiss architect, painter, and sculptor, 1908-1994)""]"
,,"Bill, Virginia F.",,Virginia F. Bill,"[""Bill, Virginia F.""]"
,,"Birchall, L. M.",,L. M. Birchall,"[""Birchall, L. M.""]"
,,"Bird, Jim","British painter, born 1937",Jim Bird,"[""Bird, Jim (British painter, born 1937)""]"
,,"Birker, Joop",1935-1993,Joop Birker,"[""Birker, Joop (1935-1993)""]"
,,"Bishop, Isabel","American painter and etcher, 1902-1988",Isabel Bishop,"[""Bishop, Isabel (American painter and etcher, 1902-1988)""]"
,,"Bisschop, Jan de","Dutch draftsman and etcher, 1628-1671",Jan de Bisschop,"[""Bisschop, Jan de (Dutch draftsman and etcher, 1628-1671)""]"
,,"Blakeley, Fannie B.",,Fannie B. Blakeley,"[""Blakeley, Fannie B.""]"
,,"Blakstad, Rolph","1929-, born Vancouver, Canada",Rolph Blakstad,"[""Blakstad, Rolph (1929-, born Vancouver, Canada)""]"
,,"Blanch, Arnold","American painter, 1896-1968",Arnold Blanch,"[""Blanch, Arnold (American painter, 1896-1968)""]"
,,"Bleckner, Ross","American painter, born 1949",Ross Bleckner,"[""Bleckner, Ross (American painter, born 1949)""]"
,,"Bleker, Gerrit Claesz","Dutch painter, active by 1625, died 1656",Gerrit Claesz Bleker,"[""Bleker, Gerrit Claesz (Dutch painter, active by 1625, died 1656)""]"
,,"Blocker, Mare",,Mare Blocker,"[""Blocker, Mare""]"
,,"Bloemaert, Abraham and Saenredam, Jan",,Abraham Bloemaert,"[""Bloemaert, Abraham and Saenredam, Jan ""]"
,,"Blum, Dorothea",,Dorothea Blum,"[""Blum, Dorothea""]"
,,"Blum, Robert Frederick","American painter, draftsman, and etcher, 1857-1903",Robert Frederick Blum,"[""Blum, Robert Frederick (American painter, draftsman, and etcher, 1857-1903)""]"
,,"Bodmer, Karl","Swiss painter and graphic artist, 1809-1893",Karl Bodmer,"[""Bodmer, Karl (Swiss painter and graphic artist, 1809-1893)""]"
,,"Boichard, S.",,S. Boichard,"[""Boichard, S.""]"
,,"Boizot, Simon-Louis","French sculptor, 1743-1809",Simon-Louis Boizot,"[""Boizot, Simon-Louis (French sculptor, 1743-1809)""]"
,,"Bol, Ferdinand","Dutch history and portrait painter, 1616-1680",Ferdinand Bol,"[""Bol, Ferdinand (Dutch history and portrait painter, 1616-1680)""]"
,,"Bolotin, Jay","1949-, born Fayette County, KY",Jay Bolotin,"[""Bolotin, Jay (1949-, born Fayette County, KY)""]"
