RecordNumber,CopyrightStatement,filename,iri
55421,http://commons.wikimedia.org/wiki/File:Andrea_Solario_-_Mary_Magdalen_-_Walters_37509.jpg,Andrea_Solario_-_Mary_Magdalen_-_Walters_37509.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Andrea_Solario_-_Mary_Magdalen_-_Walters_37509.jpg
55294,"http://commons.wikimedia.org/wiki/File:Angelico,_niccolina_02.jpg","Angelico,_niccolina_02.jpg","http://commons.wikimedia.org/wiki/Special:FilePath/Angelico,_niccolina_02.jpg"
54748,http://commons.wikimedia.org/wiki/File:Angelika_Kauffmann_-_Christus_und_die_Samariterin_am_Brunnen_-1796.jpeg,Angelika_Kauffmann_-_Christus_und_die_Samariterin_am_Brunnen_-1796.jpeg,http://commons.wikimedia.org/wiki/Special:FilePath/Angelika_Kauffmann_-_Christus_und_die_Samariterin_am_Brunnen_-1796.jpeg
55280,http://commons.wikimedia.org/wiki/File:Annas_and_Kajafas_001.jpg,Annas_and_Kajafas_001.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Annas_and_Kajafas_001.jpg
55161,http://commons.wikimedia.org/wiki/File:Anne_BnF_Grec_139_fol._428v.jpg,Anne_BnF_Grec_139_fol._428v.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Anne_BnF_Grec_139_fol._428v.jpg
54745,http://commons.wikimedia.org/wiki/File:Annibale_Carracci_-_The_Samaritan_Woman_at_the_Well_-_WGA4446.jpg,Annibale_Carracci_-_The_Samaritan_Woman_at_the_Well_-_WGA4446.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Annibale_Carracci_-_The_Samaritan_Woman_at_the_Well_-_WGA4446.jpg
55486,"http://commons.wikimedia.org/wiki/File:Annibale_Carracci,_attrib.,_Portrait_of_an_African_Slave_Woman,_ca._1580s._Oil_on_canvas,_60_x_39_x_2_cm_(fragment_of_a_larger_painting.jpg","Annibale_Carracci,_attrib.,_Portrait_of_an_African_Slave_Woman,_ca._1580s._Oil_on_canvas,_60_x_39_x_2_cm_(fragment_of_a_larger_painting.jpg","http://commons.wikimedia.org/wiki/Special:FilePath/Annibale_Carracci,_attrib.,_Portrait_of_an_African_Slave_Woman,_ca._1580s._Oil_on_canvas,_60_x_39_x_2_cm_(fragment_of_a_larger_painting.jpg"
55251,http://commons.wikimedia.org/wiki/File:Anoniem_-_Rust_op_de_vlucht_naar_Egypte.JPG,Anoniem_-_Rust_op_de_vlucht_naar_Egypte.JPG,http://commons.wikimedia.org/wiki/Special:FilePath/Anoniem_-_Rust_op_de_vlucht_naar_Egypte.JPG
55008,http://commons.wikimedia.org/wiki/File:Anonymous_-_Rich_man_and_Lazarus_ca._1610.jpg,Anonymous_-_Rich_man_and_Lazarus_ca._1610.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Anonymous_-_Rich_man_and_Lazarus_ca._1610.jpg
55116,http://commons.wikimedia.org/wiki/File:Antonio_Ciseri_-_Il_trasporto_di_Cristo_al_sepolcro.jpg,Antonio_Ciseri_-_Il_trasporto_di_Cristo_al_sepolcro.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Antonio_Ciseri_-_Il_trasporto_di_Cristo_al_sepolcro.jpg
