RecordNumber,CopyrightStatement
46661,https://commons.wikimedia.org/wiki/File:Gerard_ter_Borch_d._J._012.jpg
46662,https://commons.wikimedia.org/wiki/File:Gerard_van_Honthorst_001.jpg
46663,https://commons.wikimedia.org/wiki/File:Gerard_van_Honthorst_002.jpg
46671,https://commons.wikimedia.org/wiki/File:Gerbrand_van_den_Eeckhout_002.jpg
46672,https://commons.wikimedia.org/wiki/File:Gerrit_Claesz._Bleker_001.jpg
46673,https://commons.wikimedia.org/wiki/File:Gillis_van_Coninxloo_001.jpg
46674,https://commons.wikimedia.org/wiki/File:Giorgio_Vasari_001.jpg
46675,https://commons.wikimedia.org/wiki/File:Gentile_da_Fabriano_032.jpg
46677,https://commons.wikimedia.org/wiki/File:Gentile_da_Fabriano_025.jpg
46678,https://commons.wikimedia.org/wiki/File:Gentile_da_Fabriano_024.jpg
46679,https://commons.wikimedia.org/wiki/File:Gentile_da_Fabriano_020.jpg
46680,https://commons.wikimedia.org/wiki/File:Gentile_da_Fabriano_018.jpg
46681,https://commons.wikimedia.org/wiki/File:Gentile_da_Fabriano_026.jpg
46682,https://commons.wikimedia.org/wiki/File:Gentile_da_Fabriano_015.jpg
46683,https://commons.wikimedia.org/wiki/File:Gentile_da_Fabriano_014.jpg
46684,https://commons.wikimedia.org/wiki/File:Gentile_da_Fabriano_002.jpg
46685,https://commons.wikimedia.org/wiki/File:Gentile_da_Fabriano_029.jpg
46686,https://commons.wikimedia.org/wiki/File:1460_Der_heilige_Hieronymus_in_der_W%C3%BCste_Barber_Institute_of_Fine_Arts_anagoria.jpg
46687,https://commons.wikimedia.org/wiki/File:Giovanni_di_Niccol%C3%B2_Mansueti_001.jpg
46693,"https://commons.wikimedia.org/wiki/File:Claude_Monet_-_Au_Bord_de_la_Seine,_pr%C3%A8s_de_V%C3%A9theuil.jpg"
46695,https://commons.wikimedia.org/wiki/File:Soest-Geburt-Christi.jpg
46696,https://commons.wikimedia.org/wiki/File:Conrad_von_Soest_003.jpg
46697,https://commons.wikimedia.org/wiki/File:Conrad_von_Soest_005.jpg
