qid,label_en,instance_of_uuid,instance_of
Q109407338,Karl Barth: God's Word in Action - By Paul S. Chung,8337bc92-4968-a915-8e72-5cc77d5d7b21,Q637866
Q109407937,The Ethics of Wealth in a World of Economic Inequality: A Christian Perspective in a Buddhist-Christian Dialogue,F7811315-259C-437E-9801-2CC76BCDEB84,Q18918145
Q109408050,Power and Christian Theology - By Stephen Sykes,54317735-1A58-4BC0-BB95-9B40BDF43D71,Q18918145
Q109408050,Power and Christian Theology - By Stephen Sykes,11cc1136-4f2d-cd2d-1ef0-4dae2f2e8444,Q637866
Q109408051,Power and Empire in the Study of Nineteenth-Century Theology: The Case of Schleiermacher,FC243256-7066-42A4-A06F-0E98333048AF,Q18918145
Q109408052,Radikale Theologie - By Ingolf U. Dalferth,0888FA40-715B-4937-A0CF-0B4B68D74E6E,Q18918145
Q109408052,Radikale Theologie - By Ingolf U. Dalferth,3e71f324-48e9-6ba0-acc0-21757bc339f9,Q637866
Q109408054,Re-envisioning Ecotheology and the Divine from the Margins,F1B450CF-EE33-4547-A75A-E24F438FE231,Q18918145
Q109408056,Religion and Class,DA87F0C2-EAEE-44CA-90B3-616D8591EB05,Q18918145
Q109408058,"Solidarisch Mensch Werden: Psychische Und Soziale Destruktion IM Neoliberalismus-Wege Zu Ihrer Überwindung - By Ulrich Duchrow, Reinhold Bianchi, René Krüger, and Vincenzo Petracca",27760ACD-DF56-416C-BE76-58D2E37F53D5,Q18918145
Q109408058,"Solidarisch Mensch Werden: Psychische Und Soziale Destruktion IM Neoliberalismus-Wege Zu Ihrer Überwindung - By Ulrich Duchrow, Reinhold Bianchi, René Krüger, and Vincenzo Petracca",ec59f2f6-4f0f-687f-63ca-28398a686f99,Q637866
Q109408059,The Politics of Human Frailty: A Theological Defence of Political Liberalism – By Christopher J. Insole,12B233CB-05E1-4DD9-9C96-542A17E52329,Q18918145
Q109408059,The Politics of Human Frailty: A Theological Defence of Political Liberalism – By Christopher J. Insole,337e0d67-4014-4856-a5c8-17690fc8ac0f,Q637866
Q109408060,Divine Currency: The Theological Power of Money in the West - By Devin Singh,DFEEE10F-922A-4547-A2A7-E74D63211D1D,Q18918145
Q109408060,Divine Currency: The Theological Power of Money in the West - By Devin Singh,6137ff06-4ea7-d839-d6cd-029f514c4c5d,Q637866
Q109408061,"The Turning of the Tide: Theology, Religion, and Economics",016ACC21-F7F8-4663-B233-CD5947CDA203,Q18918145
Q109408063,Wesleyan Perspectives on the New Creation – Edited by M. Douglas Meeks,C783807F-056F-4A83-9170-08C15504D304,Q18918145
Q109408063,Wesleyan Perspectives on the New Creation – Edited by M. Douglas Meeks,2a491df9-43f8-25f0-3376-967132d947c2,Q637866
Q109408064,The Cambridge Companion to Liberation Theology Edited by Christopher Rowland,FA6DF3B8-9BDE-4877-B7FA-33586C5A76CE,Q18918145
Q109408065,"Where is God? Earthquake, Terrorism, Barbarity, and Hope - By Jon Sobrino",A17A0C99-5905-4881-B672-D5768A516617,Q18918145
Q109408065,"Where is God? Earthquake, Terrorism, Barbarity, and Hope - By Jon Sobrino",a249a07a-44cd-7c84-b407-0b3e99dca1a8,Q637866
Q109408066,The Suffering of Economic Injustice: A Response to Ulrich Duchrow and David Loy,0BC2A71E-5011-4337-919F-74FB7A89C165,Q18918145
Q109408068,"Religion, Labor, Class, and Justice: Buddhist—Christian Dialogue in Fresh Perspective",87A07EFC-7EFE-4A10-8FFB-45AABE92AECA,Q18918145
Q109408069,Occupy Religion: Theology of the Multitude and Interreligious Dialogue,4CE59A92-C542-40F4-AE0B-C8EB90C6635B,Q18918145
Q109408070,Theology and Mission Between Neocolonialism and Postcolonialism,7C83FEE9-14DB-4CC9-ADBC-4BFE9B340010,Q18918145
Q109408071,"Is Political and Intercultural Theology Real Theology, and Why Should Anyone Care?",E5899CF3-BF20-4959-8005-5A179BDB01CD,Q18918145
Q109408074,Book Review: With the Grain of the Universe: The Church's Witness and Natural Theology,CE107193-8A4A-4379-9C04-8D7CB7CDFB77,Q18918145
Q109408074,Book Review: With the Grain of the Universe: The Church's Witness and Natural Theology,a2d8f7ea-4a9f-b62b-cf92-f2266b6bde7a,Q637866
Q109408075,Book Review: Theologie aus asiatischen Quellen: Der theologische Weg Choan-Seng Songs vor dem Hintergrund der asiatischen ökumenischen Diskussion,151B1EA2-D856-4F0E-AD97-046131D0DE4D,Q18918145
Q109408075,Book Review: Theologie aus asiatischen Quellen: Der theologische Weg Choan-Seng Songs vor dem Hintergrund der asiatischen ökumenischen Diskussion,844be8e7-485a-a647-a1f8-4154cc5e4d62,Q637866
Q109408076,Capitalism and Christian theology,CA96DD6E-E0E8-4453-89B3-C04282ABFD68,Q18918145
Q109408077,Engaging whiteness (more) constructively: Conversations with James Cone and Frederick Herzog on the future of race and class in theology,129F642B-1538-4C1D-81A4-F383D9F79960,Q18918145
Q109408079,Hoping against Hope: Dealing with Hopelessness in Ancient Times and Today †,F92664FC-2E4E-495C-A057-4BF97D024C34,Q18918145
Q109408080,Restructuring Interreligious Dialogue from the Bottom Up through the Lenses of Deep Solidarity and the Multitude,1F2B3A62-BF6F-42F3-A8CE-351E11132B05,Q18918145
Q109408397,Protestants and giving: The tithes that bind?,8978EA13-73D9-491D-8439-EC0AB3A12F34,Q18918145
Q109408398,"Idols, Fetishes and Foreskins: The Other of Religion",D07B7BAC-60E1-4EB4-A8A6-F429C18D5DEA,Q18918145
Q109408399,Academic Freedom and the Plight of German Theological Studies,9701D713-02C2-4EC0-9803-87FA628F0FD1,Q18918145
Q109408400,The Gentilemen's Agreement,A1CB2F38-98C6-45E3-91EC-5F2DD1672D9F,Q18918145
Q109408403,Comment,543167A1-95B8-4B49-9B36-14625AA7D1E4,Q18918145
Q109408404,Seeing Things Differently and Not Being Looked At,21E4438B-78A0-4C9F-B9B0-E2BEA06DAD5B,Q18918145
Q109408522,Resistance to Women in Ministry and the Psychodynamics of Sadness,01E8E98E-9023-4C0B-870E-8C5618F85491,Q18918145
