accession_number,mid,description,score,topicality
1965.002,/m/015h_t,Beard,0.92866796,0.92866796
1965.002,/m/01k9lj,Jaw,0.88250005,0.88250005
1965.002,/m/0jjw,Art,0.8195367,0.8195367
1965.002,/m/0ds5b,Facial hair,0.81620973,0.81620973
1965.002,/m/091410,Collar,0.8100213,0.8100213
1965.002,/m/0bby24z,Moustache,0.7759118,0.7759118
1965.002,/m/05qdh,Painting,0.7452964,0.7452964
1965.003,/m/04szw,Musical instrument,0.9083664,0.9083664
1965.003,/m/03gq5hm,Font,0.8311628,0.8311628
1965.003,/m/0jjw,Art,0.79173094,0.79173094
1965.003,/m/030zfn,Parallel,0.7707308,0.7707308
1965.003,/m/02vwbzz,Electric blue,0.76431346,0.76431346
1965.003,/m/04rlf,Music,0.7282447,0.7282447
1965.003,/m/01kr8f,Illustration,0.7259713,0.7259713
1965.003,/m/0hwky,Pattern,0.71256346,0.71256346
1965.003,/m/021sdg,Graphics,0.6929232,0.6929232
1965.003,/m/0j62f,Rectangle,0.6822174,0.6822174
1966.001,/m/0j62f,Rectangle,0.8856253,0.8856253
1966.001,/m/03gq5hm,Font,0.80843115,0.80843115
1966.001,/m/0jjw,Art,0.77279,0.77279
1966.001,/m/02csf,Drawing,0.69770515,0.69770515
1966.001,/m/01kr8f,Illustration,0.6817575,0.6817575
1966.001,/m/0hwky,Pattern,0.66904324,0.66904324
1966.001,/m/0h8p59j,Paper product,0.66206837,0.66206837
1966.001,/m/0p9xx,Visual arts,0.6565026,0.6565026
1966.001,/m/0919rx,Line art,0.65263873,0.65263873
1966.001,/m/03yhk,Ink,0.64021564,0.64021564
1966.002,/m/05nnm,Organism,0.85510844,0.85510844
1966.002,/m/0244x1,Gesture,0.85260487,0.85260487
1966.002,/m/0jjw,Art,0.8308085,0.8308085
1966.002,/m/05qdh,Painting,0.77830076,0.77830076
1966.002,/m/01kr8f,Illustration,0.7195279,0.7195279
1966.002,/m/02csf,Drawing,0.6998402,0.6998402
1966.002,/m/0p9xx,Visual arts,0.6913866,0.6913866
1966.002,/m/036jvk,Stock photography,0.62445277,0.62445277
1966.002,/m/0jgcl,Conquistador,0.6172139,0.6172139
1966.002,/m/0dgsmq8,Artwork,0.614729,0.614729
1966.004,/m/0jjw,Art,0.8504864,0.8504864
1966.004,/m/03gq5hm,Font,0.8259096,0.8259096
1966.004,/m/0244x1,Gesture,0.8160921,0.8160921
1966.004,/m/05qdh,Painting,0.8153516,0.8153516
1966.004,/m/0j62f,Rectangle,0.7886322,0.7886322
1966.004,/m/01kr8f,Illustration,0.7167668,0.7167668
1966.004,/m/0p9xx,Visual arts,0.7071543,0.7071543
1966.004,/m/02csf,Drawing,0.7011929,0.7011929
1966.004,/m/0ckc5,Magenta,0.69901854,0.69901854
1966.004,/m/02cwm,Design,0.6827345,0.6827345
1966.005,/m/01k9lj,Jaw,0.87915444,0.87915444
1966.005,/m/0dzd8,Neck,0.8770373,0.8770373
1966.005,/m/062581,Sleeve,0.8572023,0.8572023
1966.005,/m/0244x1,Gesture,0.85260487,0.85260487
1966.005,/m/0dzdr,Chest,0.831318,0.831318
1966.005,/m/0jjw,Art,0.8204448,0.8204448
1966.005,/m/031vtq,Trunk,0.8009176,0.8009176
1966.005,/m/02qqd4n,Fashion design,0.7498646,0.7498646
1966.005,/m/02csf,Drawing,0.7258153,0.7258153
1966.005,/m/09w5r,Human leg,0.72504354,0.72504354
1966.011,/m/0j62f,Rectangle,0.8726564,0.8726564
1966.011,/m/0jjw,Art,0.8104485,0.8104485
1966.011,/m/068mqj,Automotive design,0.80625963,0.80625963
1966.011,/m/0457gc6,Material property,0.80073774,0.80073774
1966.011,/m/03gq5hm,Font,0.7898906,0.7898906
1966.011,/m/0cgh4,Building,0.7813471,0.7813471
1966.011,/m/06wqb,Space,0.72489524,0.72489524
1966.011,/m/02q_bfg,Tints and shades,0.7175764,0.7175764
1966.011,/m/081pkj,Event,0.7160521,0.7160521
1966.011,/m/0p9xx,Visual arts,0.68283916,0.68283916
1968.002,/m/04szw,Musical instrument,0.9413821,0.9413821
1968.002,/m/0342h,Guitar,0.86667436,0.86667436
1968.002,/m/0jjw,Art,0.820303,0.820303
1968.002,/m/09jwl,Musician,0.77922803,0.77922803
1968.002,/m/05qdh,Painting,0.77807355,0.77807355
