qid,accession_number,dimension,type,label,creator,inception_val,inception_earliest_date_val,inception_latest_date_val,style_period,rights,media_url,status
Q104032054,2003.002g,2D,artists book,From: Farandole (A portfolio containing art by Hartung and poetry by Proal),Q657402,1972-01-01T00:00:00Z,,,,,https://forum.jstor.org/assets/26758862/representation-view,inception was after copyright cutoff
Q104032055,2003.002h,2D,artists book,From: Farandole (A portfolio containing art by Hartung and poetry by Proal),Q657402,1972-01-01T00:00:00Z,,,,,https://forum.jstor.org/assets/26758863/representation-view,inception was after copyright cutoff
Q104032056,2003.002i,2D,artists book,From: Farandole (A portfolio containing art by Hartung and poetry by Proal),Q657402,1972-01-01T00:00:00Z,,,,,https://forum.jstor.org/assets/26758864/representation-view,inception was after copyright cutoff
Q104032058,2003.002j,2D,artists book,From: Farandole (A portfolio containing art by Hartung and poetry by Proal),Q657402,1972-01-01T00:00:00Z,,,,,https://forum.jstor.org/assets/26758865/representation-view,inception was after copyright cutoff
Q104032059,2003.002k,2D,artists book,From: Farandole (A portfolio containing art by Hartung and poetry by Proal),Q657402,1972-01-01T00:00:00Z,,,,,https://forum.jstor.org/assets/26758866/representation-view,inception was after copyright cutoff
Q104032060,2003.002l,2D,artists book,From: Farandole (A portfolio containing art by Hartung and poetry by Proal),Q657402,1972-01-01T00:00:00Z,,,,,https://forum.jstor.org/assets/26758867/representation-view,inception was after copyright cutoff
Q104032061,2003.002m,2D,artists book,From: Farandole (A portfolio containing art by Hartung and poetry by Proal),Q657402,1972-01-01T00:00:00Z,,,,,https://forum.jstor.org/assets/26758868/representation-view,inception was after copyright cutoff
Q104032062,2003.002n,2D,artists book,From: Farandole (A portfolio containing art by Hartung and poetry by Proal),Q657402,1972-01-01T00:00:00Z,,,,,https://forum.jstor.org/assets/26758869/representation-view,inception was after copyright cutoff
Q104032063,2003.002o,2D,artists book,From: Farandole (A portfolio containing art by Hartung and poetry by Proal),Q657402,1972-01-01T00:00:00Z,,,,,https://forum.jstor.org/assets/26758870/representation-view,inception was after copyright cutoff
Q106577334,1978.087,2D,artists book,Fukaku Ayumi Hajime,Q4233718,1880-01-01T00:00:00Z,,,,NO KNOWN COPYRIGHT,https://forum.jstor.org/assets/26754129/representation-view,inception prior to copyright cutoff
Q103300321,1978.093,2D,artists book,Furyu Dansen Gun,Q4233718,,,,,NO KNOWN COPYRIGHT,https://forum.jstor.org/assets/26754135/representation-view,assessed to be out of copyright
Q102965629,1978.091,2D,artists book,Furyu Kyoken Shyami Sen,Q4233718,,,,,NO KNOWN COPYRIGHT,https://forum.jstor.org/assets/26754133/representation-view,assessed to be out of copyright
Q106577335,1978.095,2D,artists book,Gahon Shobai Orai (Drawing Business Traffic),,,,,,NO KNOWN COPYRIGHT,https://forum.jstor.org/assets/26754137/representation-view,assessed to be out of copyright
Q103300340,1978.143a&b,2D,artists book,Gahon-Gitsugo-Kyo (two volumes),Q4233718,,,,,NO KNOWN COPYRIGHT,https://forum.jstor.org/assets/26754185/representation-view,assessed to be out of copyright
Q103300435,1978.094,2D,artists book,Gazo Su Chi (Monk's Robes),Q4233718,1848-01-01T00:00:00Z,,,,NO KNOWN COPYRIGHT,https://forum.jstor.org/assets/26754136/representation-view,inception prior to copyright cutoff
Q106577336,1978.149,2D,artists book,Gendei Asahi No Gunbai,Q4233718,1756-01-01T00:00:00Z,,,,NO KNOWN COPYRIGHT,https://forum.jstor.org/assets/26754191/representation-view,inception prior to copyright cutoff
Q103300527,1978.137a&b,2D,artists book,Gion Goreikai Saiki (Two volumes bound together),Q4233718,1757-01-01T00:00:00Z,,,,NO KNOWN COPYRIGHT,https://forum.jstor.org/assets/26754179/representation-view,inception prior to copyright cutoff
Q106577337,1978.096,2D,artists book,Gion Kaizu (Pictures of Ceremonial Carriages),Q4233718,,,,,NO KNOWN COPYRIGHT,https://forum.jstor.org/assets/26754138/representation-view,assessed to be out of copyright
Q103300733,,2D,artists book,Guinovart: Itinerari 1948-88 (Dedicated book),,,,,,,,
Q106577342,1978.141,2D,artists book,Hanano Edo Kabuki Nendai Ki,Q4233718,1753-01-01T00:00:00Z,1748-01-01T00:00:00Z,1757-01-01T00:00:00Z,,NO KNOWN COPYRIGHT,https://forum.jstor.org/assets/26754183/representation-view,inception prior to copyright cutoff
Q103300889,1978.115abc,2D,artists book,"Hanna no Edo Kabuki Nendaiki (Chronicle of Edo Kabuki), Volumes 1, 2, and 3",Q4233718,1789-01-01T00:00:00Z,1787-01-01T00:00:00Z,1791-01-01T00:00:00Z,,NO KNOWN COPYRIGHT,https://forum.jstor.org/assets/26754157/representation-view,inception prior to copyright cutoff
Q105091849,2004.052,2D,artists book,Hans Waanders in search of blue,Q105090496,2003-01-01T00:00:00Z,,,,,https://forum.jstor.org/assets/26759024/representation-view,inception was after copyright cutoff
Q106577343,1978.116,2D,artists book,Harikae Andon,Q4233718,,,,,NO KNOWN COPYRIGHT,https://forum.jstor.org/assets/26754158/representation-view,assessed to be out of copyright
Q102966031,1978.083egh,2D,artists book,"Hasshu Gafu (Collection of Eight Ming Picture Albums), Volumes 5, 7 and 8",Q4233718,,,,,NO KNOWN COPYRIGHT,https://forum.jstor.org/assets/26754125/representation-view,assessed to be out of copyright
Q103301221,,2D,artists book,Historical Atlas of China with accordian style pages,,,,,,,,
