qid,local_filename,local_identifier,rank,label,notes,kilobytes,height,width,photo_inception,subdir
Q104032103,2008.074.jpg,2008.074,primary,,,50,495,412,2010-02-24,2008
Q104032104,2008.075.jpg,2008.075,primary,,,46,494,413,2010-02-24,2008
Q104032276,2008.076.jpg,2008.076,primary,,,52,492,414,2010-02-24,2008
Q104032278,2008.077.jpg,2008.077,primary,,,52,492,414,2010-02-24,2008
Q104032279,2008.078.jpg,2008.078,primary,,,50,493,414,2010-02-24,2008
Q104032280,2008.079.jpg,2008.079,primary,,,51,492,412,2010-02-24,2008
Q104032281,2008.080.jpg,2008.080,primary,,,49,492,413,2010-02-24,2008
Q104032282,2008.081.jpg,2008.081,primary,,,51,492,412,2010-02-24,2008
Q104032284,2008.082.jpg,2008.082,primary,,,45,493,413,2010-02-24,2008
Q104032722,2008.083.jpg,2008.083,primary,,,50,492,413,2010-02-24,2008
Q104032724,2008.084.jpg,2008.084,primary,,,50,493,414,2010-02-24,2008
Q104032725,2008.085.jpg,2008.085,primary,,,49,492,413,2010-02-24,2008
Q104032726,2008.086.jpg,2008.086,primary,,,49,492,413,2010-02-24,2008
Q104032727,2008.087.jpg,2008.087,primary,,,50,493,413,2010-02-24,2008
Q104032728,2008.088.jpg,2008.088,primary,,,49,491,414,2010-02-24,2008
Q104032729,2008.089.jpg,2008.089,primary,,,52,492,414,2010-02-24,2008
Q103300482,2008.090.jpg,2008.090,primary,,,57,493,413,2010-02-24,2008
Q103299593,2008.091.jpg,2008.091,primary,,,59,495,410,2010-02-24,2008
Q103551106,2008.092.jpg,2008.092,primary,,,64,410,493,2010-02-24,2008
Q103310911,2008.093.jpg,2008.093,primary,,,43,495,409,2010-02-24,2008
Q103310903,2008.094.jpg,2008.094,primary,,,46,495,410,2010-02-24,2008
Q103301306,2008.095.jpg,2008.095,primary,,,58,492,414,2010-02-24,2008
Q103551099,2008.096.jpg,2008.096,primary,,,46,495,408,2010-02-24,2008
Q103304807,2008.097.jpg,2008.097,primary,,,49,494,409,2010-02-24,2008
Q104031965,2008.098.jpg,2008.098,primary,,,44,493,414,2010-02-24,2008
Q104031966,2008.099.jpg,2008.099,primary,,,48,494,408,2010-02-24,2008
Q104032199,2008.100.jpg,2008.100,primary,,,47,491,419,2010-02-24,2008
Q104032200,2008.101.jpg,2008.101,primary,,,46,492,419,2010-02-24,2008
Q104032202,2008.102.jpg,2008.102,primary,,,44,492,417,2010-02-24,2008
Q104032203,2008.103.jpg,2008.103,primary,,,43,491,417,2010-02-24,2008
Q104032204,2008.104.jpg,2008.104,primary,,,45,492,418,2010-02-24,2008
Q103309373,2008.105.jpg,2008.105,primary,,,63,498,412,2010-02-24,2008
Q104032096,2008.106.jpg,2008.106,primary,,,73,496,411,2010-02-24,2008
