name,orcid_url,orcid,item_url,qid
Yunguang Sun,https://orcid.org/0000-0003-4004-9514,0000-0003-4004-9514,http://www.wikidata.org/entity/Q57618046,Q57618046
He Huang,https://orcid.org/0000-0002-4564-7604,0000-0002-4564-7604,http://www.wikidata.org/entity/Q57917522,Q57917522
Megan Davis,https://orcid.org/0000-0001-9862-7925,0000-0001-9862-7925,http://www.wikidata.org/entity/Q82824142,Q82824142
François Bordeleau,https://orcid.org/0000-0002-5114-1757,0000-0002-5114-1757,http://www.wikidata.org/entity/Q84732666,Q84732666
Bishawjit Mallick,https://orcid.org/0000-0002-9492-1059,0000-0002-9492-1059,http://www.wikidata.org/entity/Q57933737,Q57933737
Mirazul Islam,https://orcid.org/0000-0003-4959-739X,0000-0003-4959-739X,http://www.wikidata.org/entity/Q63676483,Q63676483
Jon Jackson,https://orcid.org/0000-0001-5709-2610,0000-0001-5709-2610,http://www.wikidata.org/entity/Q72991565,Q72991565
Wenjing (Angela) Zhang,https://orcid.org/0000-0002-5011-1951,0000-0002-5011-1951,http://www.wikidata.org/entity/Q58011236,Q58011236
Meghan M Burke,https://orcid.org/0000-0001-5287-2351,0000-0001-5287-2351,http://www.wikidata.org/entity/Q61162491,Q61162491
Jessica Dennis,https://orcid.org/0000-0002-8507-9699,0000-0002-8507-9699,http://www.wikidata.org/entity/Q83260441,Q83260441
Aram Mikaelyan,https://orcid.org/0000-0002-7276-0194,0000-0002-7276-0194,http://www.wikidata.org/entity/Q58098883,Q58098883
Matthew D Breyer,https://orcid.org/0000-0003-1880-371X,0000-0003-1880-371X,http://www.wikidata.org/entity/Q59600008,Q59600008
Maalobeeka Gangopadhyay,https://orcid.org/0000-0002-7019-3448,0000-0002-7019-3448,http://www.wikidata.org/entity/Q57434464,Q57434464
Peter B. Denton,https://orcid.org/0000-0002-5209-872X,0000-0002-5209-872X,http://www.wikidata.org/entity/Q59650945,Q59650945
Michael Holinstat,https://orcid.org/0000-0001-5100-1933,0000-0001-5100-1933,http://www.wikidata.org/entity/Q59820456,Q59820456
Laura C Kennedy,https://orcid.org/0000-0001-8958-7909,0000-0001-8958-7909,http://www.wikidata.org/entity/Q59677301,Q59677301
Jesse A Coker,https://orcid.org/0000-0003-1842-9860,0000-0003-1842-9860,http://www.wikidata.org/entity/Q57551500,Q57551500
Alexander G Bick,https://orcid.org/0000-0001-5824-9595,0000-0001-5824-9595,http://www.wikidata.org/entity/Q57613503,Q57613503
Joseph Dunlap,https://orcid.org/0000-0002-2632-4703,0000-0002-2632-4703,http://www.wikidata.org/entity/Q57622474,Q57622474
Robert W. Rich,https://orcid.org/0000-0002-2482-072X,0000-0002-2482-072X,http://www.wikidata.org/entity/Q60058278,Q60058278
