RecordNumber,ImageLink,file_url
27213,153,https://diglib.library.vanderbilt.edu/cdri/fulljpeg/00000153.jpg
27214,156,https://diglib.library.vanderbilt.edu/cdri/fulljpeg/00000156.jpg
27215,157,https://diglib.library.vanderbilt.edu/cdri/fulljpeg/00000157.jpg
27217,158,https://diglib.library.vanderbilt.edu/cdri/fulljpeg/00000158.jpg
27218,159,https://diglib.library.vanderbilt.edu/cdri/fulljpeg/00000159.jpg
27219,160,https://diglib.library.vanderbilt.edu/cdri/fulljpeg/00000160.jpg
27220,161,https://diglib.library.vanderbilt.edu/cdri/fulljpeg/00000161.jpg
27221,162,https://diglib.library.vanderbilt.edu/cdri/fulljpeg/00000162.jpg
27222,163,https://diglib.library.vanderbilt.edu/cdri/fulljpeg/00000163.jpg
27223,164,https://diglib.library.vanderbilt.edu/cdri/fulljpeg/00000164.jpg
27224,165,https://diglib.library.vanderbilt.edu/cdri/fulljpeg/00000165.jpg
27225,166,https://diglib.library.vanderbilt.edu/cdri/fulljpeg/00000166.jpg
27226,167,https://diglib.library.vanderbilt.edu/cdri/fulljpeg/00000167.jpg
27227,168,https://diglib.library.vanderbilt.edu/cdri/fulljpeg/00000168.jpg
27228,169,https://diglib.library.vanderbilt.edu/cdri/fulljpeg/00000169.jpg
27229,170,https://diglib.library.vanderbilt.edu/cdri/fulljpeg/00000170.jpg
27230,171,https://diglib.library.vanderbilt.edu/cdri/fulljpeg/00000171.jpg
27231,172,https://diglib.library.vanderbilt.edu/cdri/fulljpeg/00000172.jpg
27232,173,https://diglib.library.vanderbilt.edu/cdri/fulljpeg/00000173.jpg
27234,175,https://diglib.library.vanderbilt.edu/cdri/fulljpeg/00000175.jpg
27235,176,https://diglib.library.vanderbilt.edu/cdri/fulljpeg/00000176.jpg
27236,177,https://diglib.library.vanderbilt.edu/cdri/fulljpeg/00000177.jpg
27237,178,https://diglib.library.vanderbilt.edu/cdri/fulljpeg/00000178.jpg
27239,180,https://diglib.library.vanderbilt.edu/cdri/fulljpeg/00000180.jpg
27240,181,https://diglib.library.vanderbilt.edu/cdri/fulljpeg/00000181.jpg
27241,182,https://diglib.library.vanderbilt.edu/cdri/fulljpeg/00000182.jpg
27242,183,https://diglib.library.vanderbilt.edu/cdri/fulljpeg/00000183.jpg
27243,184,https://diglib.library.vanderbilt.edu/cdri/fulljpeg/00000184.jpg
27244,185,https://diglib.library.vanderbilt.edu/cdri/fulljpeg/00000185.jpg
27245,186,https://diglib.library.vanderbilt.edu/cdri/fulljpeg/00000186.jpg
27246,187,https://diglib.library.vanderbilt.edu/cdri/fulljpeg/00000187.jpg
27247,188,https://diglib.library.vanderbilt.edu/cdri/fulljpeg/00000188.jpg
27248,189,https://diglib.library.vanderbilt.edu/cdri/fulljpeg/00000189.jpg
27249,190,https://diglib.library.vanderbilt.edu/cdri/fulljpeg/00000190.jpg
27250,191,https://diglib.library.vanderbilt.edu/cdri/fulljpeg/00000191.jpg
27251,192,https://diglib.library.vanderbilt.edu/cdri/fulljpeg/00000192.jpg
27252,193,https://diglib.library.vanderbilt.edu/cdri/fulljpeg/00000193.jpg
27253,194,https://diglib.library.vanderbilt.edu/cdri/fulljpeg/00000194.jpg
27254,195,https://diglib.library.vanderbilt.edu/cdri/fulljpeg/00000195.jpg
27255,196,https://diglib.library.vanderbilt.edu/cdri/fulljpeg/00000196.jpg
27256,197,https://diglib.library.vanderbilt.edu/cdri/fulljpeg/00000197.jpg
27257,198,https://diglib.library.vanderbilt.edu/cdri/fulljpeg/00000198.jpg
27258,199,https://diglib.library.vanderbilt.edu/cdri/fulljpeg/00000199.jpg
28134,210,https://diglib.library.vanderbilt.edu/cdri/fulljpeg/00000210.jpg
28135,215,https://diglib.library.vanderbilt.edu/cdri/fulljpeg/00000215.jpg
28136,216,https://diglib.library.vanderbilt.edu/cdri/fulljpeg/00000216.jpg
28137,217,https://diglib.library.vanderbilt.edu/cdri/fulljpeg/00000217.jpg
28138,212,https://diglib.library.vanderbilt.edu/cdri/fulljpeg/00000212.jpg
28139,208,https://diglib.library.vanderbilt.edu/cdri/fulljpeg/00000208.jpg
28140,209,https://diglib.library.vanderbilt.edu/cdri/fulljpeg/00000209.jpg
28141,206,https://diglib.library.vanderbilt.edu/cdri/fulljpeg/00000206.jpg
