qid,local_filename,local_identifier,rank,label,notes,kilobytes,height,width,photo_inception,subdir,dimension
Q122959870,00000955.jpg,42424,primary,,,721,1100,698,2003-07-31,,2D
Q122959869,00000956.jpg,42423,primary,,,738,892,849,2003-07-31,,2D
Q122959857,00000957.jpg,42411,primary,,,763,1000,858,2003-07-31,,2D
Q122959890,00000959.jpg,42442,primary,,,493,828,651,2003-07-31,,2D
Q122959892,00000960.jpg,42445,primary,,,700,750,1000,2003-07-31,,2D
Q122959863,00000962.jpg,42418,primary,,,833,1000,879,2003-07-31,,2D
Q122959861,00000963.jpg,42416,primary,,,710,715,1000,2003-07-31,,2D
Q122959865,00000964.jpg,42419,primary,,,767,750,1000,2003-07-31,,2D
Q122959858,00000965.jpg,42413,primary,,,762,750,1000,2003-07-31,,2D
Q122959868,00000966.jpg,42422,primary,,,910,947,1000,2003-07-31,,2D
Q122959897,00001001.jpg,43114,primary,,,761,584,1100,2003-08-07,,3D
Q122959895,00001002.jpg,43112,primary,,,968,750,1000,2003-08-07,,3D
Q122959899,00001003.jpg,43116,primary,,,986,780,1000,2003-08-07,,3D
Q122959898,00001004.jpg,43115,primary,,,866,680,1000,2003-08-07,,3D
Q122959924,00001005.jpg,43138,primary,,,954,750,1000,2003-08-07,,3D
Q122959911,00001006.jpg,43127,primary,,,943,790,1000,2003-08-07,,3D
Q122959902,00001007.jpg,43119,primary,,,956,742,1000,2003-08-07,,3D
Q122959903,00001008.jpg,43120,primary,,,958,755,998,2003-08-07,,3D
Q122959909,00001009.jpg,43125,primary,,,923,716,1000,2003-08-07,,3D
Q122959907,00001010.jpg,43123,primary,,,809,644,1000,2003-08-07,,3D
Q122959906,00001011.jpg,43122,primary,,,783,622,1000,2003-08-07,,3D
Q122959908,00001012.jpg,43124,primary,,,1104,929,1000,2003-08-07,,3D
Q122959910,00001013.jpg,43126,primary,,,852,673,1000,2003-08-07,,3D
Q122959905,00001014.jpg,43121,primary,,,617,1000,591,2003-08-07,,3D
Q122959916,00001015.jpg,43131,primary,,,784,619,1000,2003-08-07,,3D
Q122959913,00001016.jpg,43129,primary,,,874,683,1000,2003-08-07,,3D
Q122959912,00001017.jpg,43128,primary,,,927,725,1000,2003-08-07,,3D
Q122959914,00001018.jpg,43130,primary,,,952,757,1000,2003-08-07,,3D
Q122959901,00001019.jpg,43118,primary,,,836,653,1000,2003-08-07,,3D
Q122959920,00001020.jpg,43134,primary,,,997,818,1000,2003-08-07,,3D
Q122959918,00001021.jpg,43133,primary,,,960,750,1000,2003-08-07,,3D
Q122959917,00001022.jpg,43132,primary,,,967,750,1000,2003-08-07,,3D
Q122959921,00001023.jpg,43135,primary,,,941,748,1000,2003-08-07,,3D
Q122959900,00001024.jpg,43117,primary,,,977,750,1000,2003-08-07,,3D
Q122959923,00001025.jpg,43137,primary,,,992,754,1000,2003-08-07,,3D
Q122959922,00001026.jpg,43136,primary,,,714,483,1200,2003-08-07,,3D
Q122959925,00001027.jpg,43139,primary,,,665,1000,652,2003-08-07,,3D
Q122959604,00001178.jpg,29202,primary,,,447,720,530,2003-03-15,,3D
Q122959605,00001179.jpg,29203,primary,,,404,629,534,2003-03-15,,3D
Q122959606,00001180.jpg,29204,primary,,,589,720,694,2003-03-15,,3D
Q122959607,00001181.jpg,29205,primary,,,503,657,669,2003-03-15,,3D
Q122959608,00001182.jpg,29206,primary,,,472,629,659,2003-03-15,,3D
Q122959609,00001183.jpg,29207,primary,,,501,625,692,2003-03-15,,3D
Q122959603,00001184.jpg,29198,primary,,,511,634,630,2003-03-15,,3D
Q122959611,00001185.jpg,29208,primary,,,429,686,522,2003-03-15,,3D
Q122959612,00001186.jpg,29209,primary,,,559,644,692,2003-03-15,,3D
Q122959613,00001187.jpg,29210,primary,,,585,705,720,2003-03-15,,3D
Q122959614,00001188.jpg,29211,primary,,,690,703,797,2003-03-15,,3D
Q122959615,00001189.jpg,29212,primary,,,503,604,667,2003-03-15,,3D
Q122959616,00001190.jpg,29213,primary,,,442,582,646,2003-03-15,,3D
Q122959617,00001191.jpg,29214,primary,,,559,650,668,2003-03-15,,3D
Q122959618,00001193.jpg,29215,primary,,,683,720,644,2003-03-15,,3D
Q122959619,00001194.jpg,29216,primary,,,721,720,694,2003-03-15,,3D
Q122959620,00001195.jpg,29217,primary,,,664,720,702,2003-03-15,,3D
Q122959621,00001196.jpg,29218,primary,,,651,720,689,2003-03-15,,3D
Q122959622,00001197.jpg,29219,primary,,,757,720,700,2003-03-15,,3D
Q122959624,00001198.jpg,29220,primary,,,654,696,720,2003-03-15,,3D
Q122959625,00001199.jpg,29221,primary,,,595,647,720,2003-03-15,,3D
Q122959626,00001200.jpg,29222,primary,,,612,669,720,2003-03-15,,3D
