act_id,qid,commons_iri,commons_filename,commons_page_url
58713,Q26296468,http://commons.wikimedia.org/wiki/Special:FilePath/Leendert%20van%20der%20Cooghen%20-%20The%20Doubting%20Thomas%20-%2081%20-%20Mauritshuis.jpg,Leendert van der Cooghen - The Doubting Thomas - 81 - Mauritshuis.jpg,https://commons.wikimedia.org/wiki/File:Leendert_van_der_Cooghen_-_The_Doubting_Thomas_-_81_-_Mauritshuis.jpg
55553,Q52228237,http://commons.wikimedia.org/wiki/Special:FilePath/Christ%20the%20True%20Vine%20icon%20%28Athens%2C%2016th%20century%29.jpg,"Christ the True Vine icon (Athens, 16th century).jpg","https://commons.wikimedia.org/wiki/File:Christ_the_True_Vine_icon_(Athens,_16th_century).jpg"
57282,Q111822128,http://commons.wikimedia.org/wiki/Special:FilePath/Samuel%20e%20david.jpg,Samuel e david.jpg,https://commons.wikimedia.org/wiki/File:Samuel_e_david.jpg
58041,Q111822139,http://commons.wikimedia.org/wiki/Special:FilePath/William%20Aiken%20Walker%20-%20Sharecroppers%20Gathered%20in%20the%20Yard.jpg,William Aiken Walker - Sharecroppers Gathered in the Yard.jpg,https://commons.wikimedia.org/wiki/File:William_Aiken_Walker_-_Sharecroppers_Gathered_in_the_Yard.jpg
56055,Q111842464,http://commons.wikimedia.org/wiki/Special:FilePath/Music%2001754.jpg,Music 01754.jpg,https://commons.wikimedia.org/wiki/File:Music_01754.jpg
56783,Q102355566,http://commons.wikimedia.org/wiki/Special:FilePath/%27The%20Marriage%20at%20Cana%27%20by%20Winifred%20Knights.jpg,'The Marriage at Cana' by Winifred Knights.jpg,https://commons.wikimedia.org/wiki/File:%27The_Marriage_at_Cana%27_by_Winifred_Knights.jpg
58399,Q3826994,http://commons.wikimedia.org/wiki/Special:FilePath/Vittore%20Carpaccio%20084.jpg,Vittore Carpaccio 084.jpg,https://commons.wikimedia.org/wiki/File:Vittore_Carpaccio_084.jpg
57433,Q110561994,http://commons.wikimedia.org/wiki/Special:FilePath/The%20Promised%20Land.jpg,The Promised Land.jpg,https://commons.wikimedia.org/wiki/File:The_Promised_Land.jpg
54997,Q110561978,http://commons.wikimedia.org/wiki/Special:FilePath/Satansowing.JPG,Satansowing.JPG,https://commons.wikimedia.org/wiki/File:Satansowing.JPG
49132,Q3009677,http://commons.wikimedia.org/wiki/Special:FilePath/Andrea%20del%20castagno%2C%20sant%27apollonia%2000.jpg,"Andrea del castagno, sant'apollonia 00.jpg","https://commons.wikimedia.org/wiki/File:Andrea_del_castagno,_sant%27apollonia_00.jpg"
49132,Q3009677,http://commons.wikimedia.org/wiki/Special:FilePath/Andrea%20del%20Castagno%20001.jpg,Andrea del Castagno 001.jpg,https://commons.wikimedia.org/wiki/File:Andrea_del_Castagno_001.jpg
54948,Q1959777,http://commons.wikimedia.org/wiki/Special:FilePath/Belles%20heures%20jean%20duc%20de%20berry%20annunciation.jpg,Belles heures jean duc de berry annunciation.jpg,https://commons.wikimedia.org/wiki/File:Belles_heures_jean_duc_de_berry_annunciation.jpg
