RecordNumber,filename,commons_uri,commons_page_url
56206,"A ward in a children's hospital, Lambeth. Photograph, 1925. Wellcome L0050928.jpg",http://commons.wikimedia.org/wiki/Special:FilePath/A%20ward%20in%20a%20children%27s%20hospital%2C%20Lambeth.%20Photograph%2C%201925.%20Wellcome%20L0050928.jpg,"https://commons.wikimedia.org/wiki/File:A_ward_in_a_children%27s_hospital,_Lambeth._Photograph,_1925._Wellcome_L0050928.jpg"
54972,A z.JPG,http://commons.wikimedia.org/wiki/Special:FilePath/A%20z.JPG,https://commons.wikimedia.org/wiki/File:A_z.JPG
55439,Aba-Novák Carrying the Cross 1921.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Aba-Nov%C3%A1k%20Carrying%20the%20Cross%201921.jpg,https://commons.wikimedia.org/wiki/File:Aba-Nov%C3%A1k_Carrying_the_Cross_1921.jpg
55428,Aba-Novák Laughing 1931.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Aba-Nov%C3%A1k%20Laughing%201931.jpg,https://commons.wikimedia.org/wiki/File:Aba-Nov%C3%A1k_Laughing_1931.jpg
54751,Abbazia Rodengo Romanino Samaritana.JPG,http://commons.wikimedia.org/wiki/Special:FilePath/Abbazia%20Rodengo%20Romanino%20Samaritana.JPG,https://commons.wikimedia.org/wiki/File:Abbazia_Rodengo_Romanino_Samaritana.JPG
55382,"Abbey of Port-Royal, Distributing Alms to the Poor by Louise-Magdeleine Hortemels c. 1710.jpg",http://commons.wikimedia.org/wiki/Special:FilePath/Abbey%20of%20Port-Royal%2C%20Distributing%20Alms%20to%20the%20Poor%20by%20Louise-Magdeleine%20Hortemels%20c.%201710.jpg,"https://commons.wikimedia.org/wiki/File:Abbey_of_Port-Royal,_Distributing_Alms_to_the_Poor_by_Louise-Magdeleine_Hortemels_c._1710.jpg"
46240,Abel Grimmer 002.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Abel%20Grimmer%20002.jpg,https://commons.wikimedia.org/wiki/File:Abel_Grimmer_002.jpg
55025,Abraham Bloemaert - The Emmaus Disciples - WGA02276.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Abraham%20Bloemaert%20-%20The%20Emmaus%20Disciples%20-%20WGA02276.jpg,https://commons.wikimedia.org/wiki/File:Abraham_Bloemaert_-_The_Emmaus_Disciples_-_WGA02276.jpg
54824,Abraham und Isaak.JPG,http://commons.wikimedia.org/wiki/Special:FilePath/Abraham%20und%20Isaak.JPG,https://commons.wikimedia.org/wiki/File:Abraham_und_Isaak.JPG
55730,Abraham van Dijck Der Prophet Elisa weist Naamans Gaben zurück c1655.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Abraham%20van%20Dijck%20Der%20Prophet%20Elisa%20weist%20Naamans%20Gaben%20zur%C3%BCck%20c1655.jpg,https://commons.wikimedia.org/wiki/File:Abraham_van_Dijck_Der_Prophet_Elisa_weist_Naamans_Gaben_zur%C3%BCck_c1655.jpg
57394,"Abraham verstoot Hagar en Ismaël, RP-P-OB-1588.jpg",http://commons.wikimedia.org/wiki/Special:FilePath/Abraham%20verstoot%20Hagar%20en%20Isma%C3%ABl%2C%20RP-P-OB-1588.jpg,"https://commons.wikimedia.org/wiki/File:Abraham_verstoot_Hagar_en_Isma%C3%ABl,_RP-P-OB-1588.jpg"
46239,Abram Jefimowitsch Archipow 002.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Abram%20Jefimowitsch%20Archipow%20002.jpg,https://commons.wikimedia.org/wiki/File:Abram_Jefimowitsch_Archipow_002.jpg
58724,Absalom.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Absalom.jpg,https://commons.wikimedia.org/wiki/File:Absalom.jpg
57270,Absalom's death.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Absalom%27s%20death.jpg,https://commons.wikimedia.org/wiki/File:Absalom%27s_death.jpg
54496,Abside Sant'Apollinare Classe.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Abside%20Sant%27Apollinare%20Classe.jpg,https://commons.wikimedia.org/wiki/File:Abside_Sant%27Apollinare_Classe.jpg
58371,Abtei Seckau Basilika Kreuzigungsgruppe Kruzifix 01.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Abtei%20Seckau%20Basilika%20Kreuzigungsgruppe%20Kruzifix%2001.jpg,https://commons.wikimedia.org/wiki/File:Abtei_Seckau_Basilika_Kreuzigungsgruppe_Kruzifix_01.jpg
58594,Abtei Seckau Engelskapelle Bekehrung des Äthiopiers.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Abtei%20Seckau%20Engelskapelle%20Bekehrung%20des%20%C3%84thiopiers.jpg,https://commons.wikimedia.org/wiki/File:Abtei_Seckau_Engelskapelle_Bekehrung_des_%C3%84thiopiers.jpg
46218,Adalpertus 001.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Adalpertus%20001.jpg,https://commons.wikimedia.org/wiki/File:Adalpertus_001.jpg
50226,"Adam and Eve flanked by two trees, a town in the background MET MM14113.jpg",http://commons.wikimedia.org/wiki/Special:FilePath/Adam%20and%20Eve%20flanked%20by%20two%20trees%2C%20a%20town%20in%20the%20background%20MET%20MM14113.jpg,"https://commons.wikimedia.org/wiki/File:Adam_and_Eve_flanked_by_two_trees,_a_town_in_the_background_MET_MM14113.jpg"
57386,Adam and Eve Lubok.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Adam%20and%20Eve%20Lubok.jpg,https://commons.wikimedia.org/wiki/File:Adam_and_Eve_Lubok.jpg
56127,Adam de Coster - The Denial of Saint Peter.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Adam%20de%20Coster%20-%20The%20Denial%20of%20Saint%20Peter.jpg,https://commons.wikimedia.org/wiki/File:Adam_de_Coster_-_The_Denial_of_Saint_Peter.jpg
55578,Adam Elsheimer - Glorification of the Cross - WGA7498.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Adam%20Elsheimer%20-%20Glorification%20of%20the%20Cross%20-%20WGA7498.jpg,https://commons.wikimedia.org/wiki/File:Adam_Elsheimer_-_Glorification_of_the_Cross_-_WGA7498.jpg
58020,Adolf-hoelzel-begegnung.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Adolf-hoelzel-begegnung.jpg,https://commons.wikimedia.org/wiki/File:Adolf-hoelzel-begegnung.jpg
46236,Adrian Ludwig Richter 022.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Adrian%20Ludwig%20Richter%20022.jpg,https://commons.wikimedia.org/wiki/File:Adrian_Ludwig_Richter_022.jpg
54991,AEL Christi Auferstehung.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/AEL%20Christi%20Auferstehung.jpg,https://commons.wikimedia.org/wiki/File:AEL_Christi_Auferstehung.jpg
54949,Aert de Gelder - Het loflied van Simeon.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Aert%20de%20Gelder%20-%20Het%20loflied%20van%20Simeon.jpg,https://commons.wikimedia.org/wiki/File:Aert_de_Gelder_-_Het_loflied_van_Simeon.jpg
46232,Aertgen van Leyden 001.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Aertgen%20van%20Leyden%20001.jpg,https://commons.wikimedia.org/wiki/File:Aertgen_van_Leyden_001.jpg
56304,Aflenz Pfarrkirche S-Portal Detail.JPG,http://commons.wikimedia.org/wiki/Special:FilePath/Aflenz%20Pfarrkirche%20S-Portal%20Detail.JPG,https://commons.wikimedia.org/wiki/File:Aflenz_Pfarrkirche_S-Portal_Detail.JPG
56598,AFM Word And Life.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/AFM%20Word%20And%20Life.jpg,https://commons.wikimedia.org/wiki/File:AFM_Word_And_Life.jpg
56643,African American children posed for portrait on a porch LCCN99472390.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/African%20American%20children%20posed%20for%20portrait%20on%20a%20porch%20LCCN99472390.jpg,https://commons.wikimedia.org/wiki/File:African_American_children_posed_for_portrait_on_a_porch_LCCN99472390.jpg
