,accession_number,language,ratio,partial_ratio,sort_ratio,set_ratio,w_ratio
359,1979.1239P,en,22,24,81,100,95
360,1979.1240P,en,60,67,72,100,86
361,1979.1241P,en,66,84,72,100,86
362,1979.1242P,en,47,86,53,100,86
363,1979.1243P,en,8,49,8,100,57
364,1979.1244P,en,21,68,27,95,86
365,1979.1246P,en,23,36,48,62,86
366,1980.005,und,0,0,0,0,0
367,1980.006,und,0,0,19,19,23
368,1980.007,zh,0,0,0,0,0
369,1980.012,de,11,9,44,44,42
370,1980.014,es,0,0,14,14,40
371,1980.016,fr,4,67,4,4,40
372,1981.003,la,23,35,26,26,38
373,1981.004,fr,21,21,64,64,61
374,1981.005,fr,20,24,52,61,86
375,1982.067,es,39,71,48,73,86
376,1983.003,zh,0,0,3,3,11
377,1984.040,la,11,38,10,12,57
378,1985.017,fr,3,67,5,5,38
379,1985.018,la,30,29,39,41,86
380,1987.023,und,0,0,0,0,0
381,1988.001,la,29,33,31,30,42
382,1988.004,en,20,24,24,23,36
383,1988.005,fr,35,37,56,62,59
384,1988.006,en,12,15,32,32,38
385,1988.026,en,22,32,23,23,35
386,1988.029,und,3,0,15,15,25
387,1988.034,de,9,14,9,9,13
388,1988.045,und,0,0,0,0,0
389,1988.046,und,0,0,0,0,0
390,1988.078,en,3,67,3,3,40
391,1988.079,en,33,94,29,67,86
392,1988.081,en,5,33,5,5,40
393,1988.091,en,12,40,20,100,60
394,1988.092,en,4,20,20,100,60
395,1988.093,en,13,40,19,100,60
396,1988.094,en,13,20,64,100,90
397,1988.096,en,15,34,28,100,90
398,1988.097,en,19,32,29,100,90
399,1988.098,en,12,24,29,82,87
400,1988.099,en,13,40,20,100,60
401,1988.100,en,11,40,16,100,60
402,1988.101,en,3,67,4,4,38
403,1988.102a,en,4,67,4,4,38
404,1989.011,en,14,17,31,31,37
405,1989.012,en,7,67,11,11,38
406,1989.013,en,3,33,9,10,38
407,1989.014,fr,4,33,6,6,20
408,1989.015,en,30,36,30,30,30
409,1989.016,en,18,31,31,32,34
410,1989.017,en,67,100,66,100,90
411,1989.018,fr,23,24,34,34,32
412,1989.020,en,41,42,59,72,68
413,1989.024,fr,4,67,7,8,40
414,1989.025,en,24,41,44,90,86
